	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26	f27	f28	f29	f30	f31	f32	f33	f34	f35	f36	f37	f38	f39	f40	f41	f42	f43	f44	f45	f46	f47	f48	f49	f50	f51	f52	f53	f54	f55	f56	f57	f58	f59	f60	f61	f62	f63	f64	f65	f66	f67	f68	f69	f70	f71	f72	f73	f74	f75	f76	f77	f78	f79	f80	f81	f82	f83	f84	f85	f86	f87	f88	f89	f90	f91	f92	f93	f94	f95	f96	f97	f98	f99	f100	f101	f102
10	-0.02652	162.51239	-0.34557	0.00067	0.00908	1e-05	0.12005	173.10283	1.87155	0.00097	0.0249	0.00138	-0.0258	144.83239	-0.21101	0.00055	0.00581	0.00016	0.06447	203.10725	1.93871	0.00098	0.02241	0.00122	0.01833	191.83602	-0.18091	0.00088	0.01344	0.00011	0.06062	187.49202	1.85823	0.0009	0.02247	0.00125	0.01112	164.51831	-0.14511	0.00072	0.00895	0.00021	0.09254	171.82152	1.97966	0.00088	0.02209	0.00129	0.01979	134.01127	-0.19565	0.00044	0.00733	0.00022	0.03764	159.15746	1.59758	0.00071	0.0168	0.0011	-0.0373	120.12379	-0.3493	0.00031	-0.00044	0.00017	0.06872	129.08934	1.92139	0.00058	0.01068	0.00128	-0.03443	139.50771	-0.4133	0.00047	0.00532	0.00014	0.08696	143.86097	1.70945	0.00069	0.01765	0.00096	0.03376	167.3715	0.10274	0.00062	0.00898	0.00034	0.08806	177.96761	1.81871	0.00095	0.02078	0.00085	-0.02589	132.7213	-0.33969	0.00044	0.00298	0.00023
11	-0.00705	-55.00994	-0.53008	-0.00026	-0.00574	-7e-05	-0.10784	10.87059	-0.40246	5e-05	-2e-05	0.00133	0.03176	-21.29505	0.21071	-0.00012	0.00086	0.00014	0.0567	-53.94677	0.90956	-0.00035	-0.00765	0.00089	-0.01573	-12.63291	0.09087	-0.00011	-0.00392	0.00029	0.01531	49.74282	-1.02951	0.00025	0.01251	0.00052	0.22554	130.28808	1.72943	0.0005	0.01809	0.0004	0.01378	3.87221	-0.06194	-0.00012	0.00318	0.00041	-0.02294	-33.86406	0.09571	-0.00018	-0.00178	0.00071	-0.00947	-22.26947	-0.01509	-0.0001	-0.00322	0.00031	0.05913	2.20376	0.25505	-9e-05	-0.00025	0.00059	-0.02728	5.84577	-0.18925	-5e-05	-0.00043	0.00042	-0.00632	23.8383	-0.52106	0.00018	0.01142	0.00028	0.16183	76.09366	1.39963	0.00037	0.00836	0.00029	-0.00391	22.43723	-0.25125	7e-05	0.00413	0.00056	-0.01861	128.47389	0.23191	0.00065	0.02105	-1e-05	-0.05273	-101.32332	-0.52673	-0.00052	-0.01722	0.00029
12	-0.00597	-21.26077	-0.43858	-0.0001	0.00039	3e-05	-0.0946	57.95778	-0.70683	0.00043	0.01408	5e-05	0.06457	9.3537	0.49451	5e-05	0.00379	8e-05	-0.03678	15.75102	0.38335	-1e-05	-0.0022	4e-05	0.01885	-71.13496	-0.46975	-0.00017	0.00014	-1e-05	0.00112	34.45816	-0.51298	0.00027	0.01124	0.00016	0.10931	14.97611	1.02755	1e-05	0.00173	0.00013	0.03189	64.27474	-0.44601	0.0005	0.0188	0.00033	0.00947	-25.71128	0.09957	0.00015	0.00506	7e-05	-0.02662	-16.98181	0.34955	-0.00027	-0.00779	0.00018	-0.03134	32.72401	0.34483	9e-05	0.00179	0.00017	-0.00169	12.73499	-0.0836	9e-05	0.00872	0.00012	-0.06333	43.03923	-1.02062	0.00038	0.01457	-4e-05	0.11297	115.37426	1.11753	0.00055	0.01751	0.00014	-0.0125	-9.57296	-0.23961	-4e-05	0.00019	9e-05	-0.01806	-19.73582	-0.53335	-2e-05	0.00617	-4e-05	-0.04135	-10.51427	0.23169	-0.0002	-0.00756	0.00018
13	-0.11506	28.73096	-0.65642	0.00021	0.00359	-0.00012	0.0161	-97.88448	-0.26512	-0.00058	-0.01276	7e-05	-0.01359	36.24952	0.08142	0.0002	0.00986	0.00048	0.05493	-177.18542	0.22921	-0.00118	-0.0258	-0.00028	0.03261	76.94653	0.26535	0.00033	0.01507	0.00012	-0.01081	-55.23571	-0.17498	-0.00014	-0.00315	0.00012	-0.05032	-128.85358	-0.72412	-0.00074	-0.01978	-0.00058	-0.01999	-191.95482	-0.83096	-0.00103	-0.02344	-0.00062	0.08997	13.10077	0.58413	0.0002	0.00862	-0.00028	-0.02326	188.42404	0.56569	0.001	0.01949	-0.00052	-0.00363	113.86384	0.15489	0.00056	0.01501	9e-05	0.04216	-61.1253	-0.02452	-0.00053	-0.0161	-0.00025	0.04716	-105.45637	0.43265	-0.00068	-0.02383	-0.00051	-0.01895	17.30659	0.02008	-0.00017	-0.00264	-9e-05	-0.05397	33.94708	0.20332	0.00022	-0.00144	-0.00014	0.04448	-230.91412	0.13022	-0.00128	-0.02978	0.00068	0.02025	-7.89197	0.13986	0.00019	0.00067	0.00067
14	-0.0291	-97.19233	-0.88553	-0.00061	-0.01042	0.00011	0.00894	74.38453	0.43018	0.00041	0.01006	-0.00022	-0.04666	-76.14195	-0.45382	-0.00039	-0.00428	5e-05	-0.0579	198.01015	0.11878	0.001	0.02606	-3e-05	-0.0079	2.67271	-0.26186	3e-05	0.00421	0.00049	0.0034	97.18584	0.29918	0.00042	0.012	0.00065	0.03481	-99.45901	-0.2151	-0.0005	-0.00554	-2e-05	-0.00181	179.40146	0.0137	0.00125	0.02661	8e-05	-0.00125	-16.9564	-0.28856	-0.00031	-0.00135	-0.0001	-0.02151	105.59564	-0.15462	0.00077	0.02305	-9e-05	-0.0314	-60.59811	-0.08577	-0.00027	-0.00804	0.00069	-0.12768	98.71774	-0.60188	0.00023	0.00858	0.00014	0.07997	-76.1522	0.30498	-0.0003	-0.00967	-0.0	0.04874	132.43678	0.33686	0.00088	0.02213	0.00017	-0.00607	-18.65233	0.23366	-0.00023	-0.00738	-0.0001	-0.07253	-12.76861	-0.85319	-9e-05	-6e-05	0.00011	-0.0066	14.59971	-0.18862	-3e-05	-0.00081	-9e-05
15	-0.00815	-171.4689	-0.17227	-0.00082	-0.01613	-0.00018	-0.06433	20.37173	-0.63982	0.00018	0.00723	-0.0001	-0.0292	2.67696	-0.23916	0.00015	0.00339	-0.00015	-0.05894	-37.86363	-0.00067	-0.00031	-0.00204	4e-05	0.00683	22.65226	0.28617	0.0001	0.00345	0.00018	-0.03394	-81.54291	-0.38259	-0.00045	-0.00981	0.00012	-0.02765	-8.88855	-0.15346	-7e-05	-0.00273	-0.00011	-0.0052	-7.51569	0.13251	-8e-05	-0.00227	0.00021	0.07709	-23.16879	0.54692	-0.00023	-0.0076	-0.00023	0.10916	-19.7789	0.38242	-0.00013	-0.00286	-1e-05	-0.01539	26.51719	0.06263	0.00019	0.00486	0.00014	0.03498	-10.36095	0.23247	-0.00028	-0.00298	2e-05	-0.05519	-32.10306	-0.4549	-0.00016	0.00057	-8e-05	-0.03989	-51.31957	-0.08254	-0.00017	-0.00808	1e-05	-0.01374	18.13099	-0.03217	-1e-05	0.00239	0.00012	-0.06715	-37.67966	-0.40938	-0.00019	-0.00624	-7e-05	-0.00601	54.45453	0.01475	0.00013	0.00316	0.00024
16	0.04543	12.34054	0.0367	0.00015	0.00244	9e-05	-0.15226	82.88669	-1.28205	0.00053	0.01157	-0.00029	0.10744	-139.85217	0.28191	-0.00081	-0.01599	0.00019	0.07555	-102.60292	0.19054	-0.00035	-0.01267	-0.00023	-0.21389	-73.8421	-2.28195	-0.00029	-0.00185	0.00011	0.03773	-22.78251	0.2315	-0.00032	-0.00424	-0.00011	0.12878	54.78687	1.05458	0.0004	0.0048	0.00032	0.02913	99.08713	0.04197	0.00032	0.01272	0.00071	0.07334	-12.02195	0.72708	-0.00034	-0.00437	-0.00039	-0.02178	64.48493	0.01405	0.00027	0.00639	-0.00027	-0.18003	28.01757	-0.7315	-0.0001	-0.00417	0.00049	-0.10401	64.41277	-0.70836	0.00049	0.01342	-0.00032	0.12546	-115.89418	0.35467	-0.00027	-0.00456	0.00022	0.06598	40.98217	0.08591	0.00023	0.00791	0.00041	-0.0883	-34.32753	-0.21098	-0.00028	-0.00237	-0.00022	-0.02508	-196.93415	-0.47363	-0.0008	-0.02756	-4e-05	0.11741	39.59991	0.33666	-0.00015	0.00592	-0.00042
17	-0.08718	131.00916	-0.55387	0.00095	0.03653	0.00043	0.0121	-135.11754	1.64476	-0.00154	-0.03586	-0.0004	-0.01518	-358.19486	-0.40615	-0.0028	-0.06285	0.00028	0.09859	-90.21458	1.69269	-0.00033	-0.01292	-7e-05	-0.02487	45.42718	0.36521	0.00103	0.01283	5e-05	-0.07211	-246.16642	0.04919	-0.00116	-0.03303	-6e-05	-0.012	103.24423	1.22411	-0.00027	-0.0072	0.00057	-0.23961	31.07269	-1.00425	-0.0	-0.00542	-0.0001	0.14266	97.68518	1.8735	0.0011	0.0242	-6e-05	0.25845	29.20788	0.05604	1e-05	0.03876	0.00094	0.04854	116.18575	0.99281	2e-05	0.01963	0.00015	-0.02599	-58.88292	0.4242	-0.00056	-0.02101	-7e-05	-0.12305	69.70713	-0.83652	0.00122	0.00153	-0.00059	0.04663	-7.2543	-0.50687	0.00065	0.01331	-0.00028	-0.01704	87.02202	0.2424	0.00031	0.00806	-0.00085	0.09241	-283.30686	0.95649	-0.00215	-0.05814	-7e-05	-0.18195	-205.0804	-1.46157	-0.00142	-0.03969	0.0001
18	0.00359	-60.8102	-1.06168	-2e-05	0.00581	-6e-05	-0.13416	64.56152	-0.17948	0.0002	0.00417	0.00021	0.01184	-20.64637	-0.22448	-0.00012	0.00456	0.00019	0.13508	61.63765	0.92884	0.00043	0.01884	0.00012	0.00981	-10.73456	-0.39555	-0.00017	-0.00119	0.00014	0.04474	-90.67363	-0.21686	-0.00044	-0.01032	0.00037	0.06533	69.84638	0.90799	0.00031	0.00757	2e-05	-0.03791	-87.39037	-0.63563	-0.00043	-0.00776	0.00013	-0.01382	18.48485	-0.00427	-6e-05	-0.00143	0.00024	0.01716	-7.58016	0.1114	-0.00011	-0.00212	-8e-05	0.0651	104.38341	0.52913	0.00071	0.02085	0.00021	-0.00821	30.15996	-0.44783	0.00015	0.00726	0.00049	-0.02987	85.04075	-0.23607	0.00039	0.01393	8e-05	0.11879	54.52913	1.01962	0.0003	0.01207	0.00032	-0.05479	2.26531	-0.37743	-6e-05	0.00288	0.00028	-0.13815	-10.86793	-0.68005	-4e-05	-0.00222	-1e-05	-0.0349	21.24505	0.06489	0.0001	0.00273	0.00024
19	-0.02392	3.20744	-0.68788	0.00016	0.00645	-6e-05	-0.05315	-75.12812	-0.63453	-0.00023	-0.00419	2e-05	0.00812	-7.73466	0.39186	-9e-05	-0.0064	0.00025	0.04633	20.52568	0.56744	6e-05	0.00106	-1e-05	0.02351	-122.14391	-0.14889	-0.00046	-0.01108	7e-05	-0.05504	-45.80727	-0.65657	-0.00014	-0.00714	0.00026	0.06526	54.49802	1.10999	0.00031	0.00502	-6e-05	0.06241	8.08221	0.02593	7e-05	0.0078	0.00011	-0.03198	3.54114	-0.38783	0.00011	0.00719	0.00027	-0.00975	71.21639	-0.25563	0.0002	0.00507	1e-05	-0.0016	67.07301	0.5871	0.00026	0.00662	0.00021	-0.05198	-104.43125	-0.15911	-0.0006	-0.01928	9e-05	-0.07015	19.34004	-0.86092	0.00013	0.00358	5e-05	0.08264	152.71002	1.05145	0.00065	0.0174	0.00035	-0.0151	-89.86426	-0.46838	-0.00044	-0.01012	-8e-05	-0.01181	-90.61905	-0.01085	-0.00046	-0.01099	-5e-05	-0.00983	-5.77567	0.16211	-0.00015	-0.00523	-1e-05
20	-0.02047	44.13538	-0.58565	-4e-05	0.00595	-3e-05	0.07978	-39.98374	0.7197	-0.00028	-2e-05	1e-05	-0.05911	-12.64756	-1.06348	2e-05	0.00752	0.00018	0.08349	-72.61631	0.45209	-0.00028	-0.00849	-2e-05	0.14412	52.02694	1.12385	0.00022	0.0082	0.00036	-0.01084	141.04645	-0.14055	0.00052	0.01712	-5e-05	0.03127	-83.48108	0.18768	-0.00065	-0.01256	0.0001	-0.11644	-4.47998	-0.98508	0.00027	0.005	-0.00027	-0.08964	102.71281	-0.83714	0.00065	0.01408	2e-05	-0.01401	-123.71518	-0.20144	-0.00081	-0.01671	8e-05	-0.06576	-14.7136	0.13187	-0.00027	-0.00797	1e-05	0.09624	56.89353	0.48819	0.00032	0.01227	-1e-05	-0.1047	66.67477	-0.59134	0.00043	0.00579	-0.00043	0.07231	13.29629	0.55764	0.00033	0.00405	-5e-05	-0.10243	93.24145	-0.99393	0.00036	0.0135	-3e-05	-0.02442	39.49441	0.01985	0.00023	0.01067	2e-05	0.00201	24.06463	0.68446	0.00016	-0.00059	0.00016
21	0.01773	17.18331	0.28477	-4e-05	0.00193	9e-05	-0.13663	-90.03626	-1.01376	-0.00032	-0.01266	0.00011	-0.04471	58.42928	-0.92591	0.00056	0.01629	-0.0001	-0.11374	-77.48688	-0.96459	-4e-05	-0.00259	-0.00036	-0.07577	23.10763	-0.45629	0.0002	0.0096	0.00023	0.01963	-50.76968	-0.19057	-0.00031	-0.00497	-0.00019	-0.06294	-166.38699	-0.32659	-0.00121	-0.03174	-9e-05	-0.07344	116.07445	-0.33228	0.00064	0.01501	-0.00025	-0.0267	25.6667	0.35182	0.00019	-0.00346	-0.00016	0.13403	59.67382	1.18573	0.00034	0.00551	-0.00014	-0.06265	207.68391	0.53206	0.00102	0.0209	0.00041	-0.10448	-249.20773	-0.83614	-0.0013	-0.02796	1e-05	-0.01597	-28.48425	-0.35655	0.0001	0.00213	0.0001	0.14247	-141.56882	0.69138	-0.00107	-0.02996	-0.00022	-0.16807	-21.84631	-0.96907	-0.00016	0.00272	-0.00033	0.04668	-15.2388	-0.32016	8e-05	-0.00281	-9e-05	0.04231	-135.82341	0.04121	-0.00066	-0.015	-8e-05
22	0.01861	65.10924	-0.0788	9e-05	0.01094	-0.00019	-0.01906	-74.50171	0.66625	-0.00046	-0.01766	0.00056	-0.0918	-40.9605	-0.6413	-0.00021	-0.00946	0.00013	0.0467	5.4111	0.40574	5e-05	0.00379	9e-05	0.01627	43.40039	0.08665	0.00018	0.00371	-0.00026	0.0477	-16.44809	0.56783	-0.00031	-0.00653	-4e-05	0.07675	50.30266	0.29518	8e-05	0.00818	-0.0004	0.07155	54.88233	0.24803	0.0005	0.00975	0.00049	-0.01476	16.49388	0.22782	0.00022	0.00129	0.00046	-0.04127	-33.26291	0.28932	-0.00038	-0.01345	-3e-05	0.01203	-132.85711	0.47277	-0.00076	-0.02194	6e-05	0.02047	15.34401	0.03466	0.00029	0.00609	-0.00044	0.09373	125.59881	0.19133	0.00076	0.02424	0.00017	-0.03137	92.3671	0.00137	0.00032	0.01071	-6e-05	-0.01877	30.68885	0.08012	-6e-05	0.00261	-0.00042	-0.05854	59.60868	0.14927	0.00038	0.00553	-0.00028	-0.01772	0.95329	-0.33173	0.00012	0.0011	-6e-05
