protein	class	features
>10017	1	-0.09077,-468.37737,-0.61674,-0.00211,-0.06758,0.00041,-0.07405,15.12389,0.60547,0.00017,-0.00380,-0.00003,0.04419,-88.87235,0.32588,-0.00101,-0.01695,-0.00041,-0.13729,195.83000,-1.94916,0.00128,0.03271,-0.00024
>10018	1	0.05957,-436.21238,-0.18145,-0.00259,-0.06011,-0.00091,-0.21058,438.05150,-0.66129,0.00185,0.05145,-0.00129,-0.07413,-182.53772,-0.16064,-0.00096,-0.03249,0.00186,0.05439,464.79710,0.37397,0.00246,0.07156,-0.00155
>10019	1	-0.15095,173.13158,-1.33993,0.00069,0.02710,-0.00066,-0.06713,22.18444,-0.64550,-0.00007,0.00249,-0.00052,0.10810,147.84000,0.70234,0.00065,0.02227,0.00284,-0.10745,-5.27437,-0.91299,-0.00037,-0.00081,-0.00045
>10020	1	-0.02651,-112.57395,-0.61696,-0.00032,-0.00069,0.00031,-0.12294,112.75010,-2.05244,0.00026,0.00330,-0.00062,0.01792,-118.16325,-0.04080,-0.00025,-0.01389,0.00001,-0.21389,-12.56971,-3.13290,-0.00052,-0.01441,-0.00011
>10021	1	-0.23311,-110.09325,-0.27981,-0.00185,-0.06795,0.00238,-0.02952,372.88284,0.52500,0.00195,0.05541,-0.00056,-0.04412,-875.66633,-1.23477,-0.00418,-0.10233,-0.00288,-0.44462,-827.23418,-1.77900,-0.00535,-0.12968,-0.00259
>10022	1	0.28171,130.17440,3.65840,0.00058,0.00579,-0.00099,-0.10269,-750.80310,0.07740,-0.00514,-0.14325,-0.00084,-0.35704,170.52069,-4.16474,-0.00003,0.02191,0.00327,-0.41429,891.48773,-4.93927,0.00516,0.14299,-0.00216
>10023	1	-0.58789,-60.14110,-5.76395,-0.00009,0.01591,-0.00075,0.56697,-304.11618,6.02253,0.00010,-0.06670,0.00056,-0.89990,297.25770,-4.90731,0.00271,0.07510,-0.00184,0.28324,506.46969,5.56691,0.00295,0.04065,-0.00014
>10025	1	0.02775,30.16900,0.93142,-0.00079,-0.01441,-0.00183,-0.42031,164.02000,-2.30088,0.00096,0.01219,0.00026,0.04155,-361.91000,0.04283,-0.00126,-0.04692,-0.00118,0.23769,58.50857,2.08215,0.00137,0.05088,0.00057
>10026	1	-0.00035,40.02395,-0.82110,0.00102,0.00964,-0.00068,-0.20438,-44.47441,1.19077,0.00039,-0.00801,-0.00117,-0.29999,197.69012,-4.08313,0.00053,0.01210,-0.00075,-0.00243,116.69884,-0.73145,0.00032,0.00851,-0.00016
>10027	1	-0.02428,84.08075,0.31918,-0.00110,-0.02906,-0.00084,-0.11931,-262.20228,-0.42633,-0.00052,-0.02802,-0.00103,-0.10028,-390.01407,-2.67433,-0.00160,-0.02506,0.00235,-0.06397,-1211.21327,-0.32240,-0.00704,-0.16347,-0.00137
>10028	1	0.02309,92.45782,0.58694,0.00082,0.01636,-0.00058,-0.17793,-132.56218,-1.06667,-0.00189,-0.04229,-0.00190,0.00445,-242.72617,-0.58185,-0.00029,-0.01550,0.00257,0.10463,-354.21122,-0.08955,-0.00210,-0.06828,-0.00033
>10029	1	0.02239,-476.86703,-0.96577,-0.00483,-0.05867,-0.00033,-0.44150,146.59648,-0.91155,0.00049,0.00300,-0.00065,0.07652,-701.58916,-0.75663,-0.00549,-0.12497,0.00003,0.21176,170.98788,1.82655,0.00342,0.01719,-0.00016
>10030	1	-0.02597,-465.37108,-1.17780,-0.00451,-0.04995,-0.00033,-0.47357,136.16945,-0.79569,0.00026,-0.00583,-0.00068,0.05700,-705.73683,-0.98262,-0.00555,-0.12837,0.00005,0.15793,162.33191,1.84934,0.00319,0.00926,-0.00016
>10031	1	-0.14540,-86.32692,-2.96311,0.00148,0.01968,-0.00052,-0.00168,103.57833,0.45684,0.00148,0.02922,-0.00005,0.00451,233.56000,0.17963,0.00080,0.01565,0.00033,-0.25204,-530.98300,-4.58788,-0.00397,-0.06152,-0.00029
>10032	1	-0.14540,-86.32692,-2.96311,0.00148,0.01968,-0.00052,0.02420,108.45167,0.49767,0.00106,0.02485,0.00008,-0.01267,239.68000,0.13054,0.00004,0.01182,0.00009,-0.27949,-544.70200,-4.61388,-0.00272,-0.05146,-0.00042
>10033	1	0.30317,-104.82717,1.10108,-0.00118,-0.00829,-0.00082,-0.17134,-149.40452,-1.27859,0.00114,0.01047,-0.00014,-0.18230,-72.24110,-0.06643,-0.00159,-0.04093,-0.00115,-0.42574,-197.09215,-2.23952,-0.00112,-0.03902,0.00067
>10034	1	-0.22978,51.93100,-3.40213,0.00085,0.01451,-0.00055,0.21199,36.20889,1.85779,-0.00000,0.00703,0.00002,-0.26117,23.01750,-4.60277,-0.00049,0.00884,-0.00259,0.16674,76.08143,5.43574,0.00037,-0.00566,0.00098
>10035	1	-0.02948,-62.02271,-1.14468,-0.00044,0.00265,-0.00039,0.14783,-53.55402,1.43078,0.00040,0.03411,0.00023,0.06097,213.34428,0.12737,0.00195,0.04494,0.00111,-0.14836,-209.75417,-0.15453,-0.00203,-0.05504,-0.00041
>10036	1	-0.68225,-96.67212,-4.13716,-0.00078,-0.02652,-0.00038,0.14889,-185.83415,2.41715,-0.00204,-0.02700,0.00006,-0.21160,282.10567,0.44326,0.00128,0.01535,0.00012,-0.14634,60.77077,-2.58527,0.00206,0.04374,-0.00017
>10037	1	-0.04767,-30.79110,0.67995,0.00007,-0.01326,-0.00076,0.00648,-41.01263,0.22687,-0.00019,0.00076,-0.00222,0.06336,-164.15192,-0.07942,-0.00109,-0.02156,0.00052,-0.02151,-206.55202,0.26383,-0.00069,-0.03284,-0.00191
>10038	1	-0.04408,-25.71292,0.76279,0.00008,-0.01399,-0.00064,0.06415,-91.86132,0.74914,-0.00037,-0.00518,-0.00231,0.01070,-114.37669,-0.32634,-0.00088,-0.01762,0.00052,0.00641,-296.99455,-0.01870,-0.00118,-0.04026,-0.00179
>10040	1	0.09141,513.85912,1.40322,0.00214,0.06392,-0.00057,-0.25625,-139.94619,-2.95514,-0.00097,-0.01005,0.00276,-0.35432,-464.97987,-3.51125,-0.00217,-0.03650,-0.00025,-0.11612,-451.50334,-2.98890,-0.00140,-0.02218,-0.00048
>10043	1	0.08938,-91.23000,-0.59354,0.00017,0.02100,-0.00051,-0.88301,95.86000,-4.50063,-0.00039,-0.04453,0.00018,-0.30237,-573.12000,-1.64188,-0.00300,-0.12956,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
>10044	1	-0.01000,-3.36750,0.01313,-0.00006,-0.00226,-0.00007,-0.13595,-222.40250,-1.08562,-0.00075,-0.01434,-0.00015,-0.22000,9.29250,-1.14188,0.00012,0.00393,-0.00055,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
>10049	1	0.03878,-154.55500,0.42591,-0.00080,-0.02335,-0.00118,-0.08934,-593.86545,-2.24360,-0.00208,-0.06002,-0.00076,0.01980,444.11800,0.72267,0.00128,0.05132,0.00395,0.14113,242.43000,1.94401,0.00155,0.01969,-0.00272
>10051	1	-0.33059,-642.36773,-1.62712,-0.00430,-0.12827,0.00067,-0.33762,641.37435,-0.06665,0.00262,0.07752,-0.00145,0.42695,-585.74469,1.66510,-0.00280,-0.04943,0.00020,-0.86521,581.08927,-2.40457,0.00447,0.07872,-0.00073
>10052	1	0.16593,-303.39026,2.33268,-0.00304,-0.07842,0.00228,0.06509,-1.66293,0.26942,0.00028,0.00576,-0.00058,0.06218,-62.60440,-1.84122,-0.00046,-0.01467,-0.00095,-0.47631,10.28124,-4.34356,0.00047,0.02483,-0.00109
>10053	1	-0.14231,-402.81728,1.22806,-0.00308,-0.12447,-0.00083,-0.03385,-231.38518,1.35963,-0.00198,-0.03110,-0.00362,-0.60877,710.09224,-1.91408,0.00545,0.14177,0.00277,-0.18343,-984.27156,-3.79170,-0.00586,-0.15993,0.00015
>10054	1	-0.23407,-720.46806,-5.11289,-0.00531,-0.08201,-0.00048,-0.71662,-681.42014,-3.45139,-0.00496,-0.11855,-0.00000,0.45846,871.07639,6.22222,0.00339,0.07818,0.00036,0.13543,-932.05556,-3.62556,-0.00390,-0.02571,-0.00038
>10055	1	-0.20270,-178.53313,-4.26418,-0.00148,0.00631,-0.00039,-0.58909,-1150.89237,-2.78833,-0.00901,-0.17671,-0.00005,0.36514,387.77413,4.68189,0.00143,0.00740,0.00026,0.11381,-117.76265,-2.37109,0.00013,0.02949,-0.00014
>10056	1	-0.29778,-209.15892,-1.26103,-0.00162,-0.06148,-0.00001,0.07767,14.42569,-0.26614,0.00068,0.01839,-0.00027,-0.16168,205.05517,0.89797,0.00109,0.01885,0.00023,-0.14027,-52.83985,-1.58335,-0.00117,-0.02656,-0.00090
>10057	1	0.11287,-692.82347,1.37181,-0.00466,-0.10626,-0.00070,-0.20250,254.64629,-2.94799,0.00156,0.06402,0.00159,-0.07368,-149.30503,-0.82100,-0.00113,-0.03165,-0.00077,-0.19858,289.64953,-1.64147,0.00161,0.03855,-0.00053
>10062	1	-0.14397,-253.46938,-3.45512,-0.00060,-0.02126,-0.00402,0.10645,-113.14240,2.07427,-0.00176,-0.01868,0.00212,-0.17938,82.57345,-0.71516,0.00050,0.01219,-0.00103,-0.00353,-102.73747,1.43610,0.00023,-0.00250,-0.00459
>10084	1	-0.27491,470.88331,-1.49846,0.00230,0.07358,0.00195,0.33146,-451.26420,0.22250,-0.00206,-0.04950,0.00004,-0.14190,-613.53567,-1.46636,-0.00328,-0.10574,-0.00374,0.14031,-7.63108,-0.03000,0.00158,0.02515,-0.00217
>10088	1	-0.42686,154.93688,-1.39907,0.00009,0.00671,0.00052,-0.30924,-893.37908,-1.09709,-0.00415,-0.12936,-0.00113,0.51567,236.12563,1.24635,0.00164,0.05737,-0.00165,-0.47523,-524.87580,-1.65152,-0.00409,-0.12884,-0.00122
>10109	1	-0.22574,56.54154,-4.16534,0.00029,0.01729,-0.00110,0.05142,-443.84583,0.93201,-0.00361,-0.07067,-0.00006,0.06894,-204.50273,2.09069,-0.00156,-0.03791,-0.00104,-0.18209,116.35900,-4.67404,0.00060,0.02225,-0.00029
>10112	1	0.58674,661.65189,4.43338,0.00300,0.06514,0.00140,0.05905,311.10123,2.61922,0.00146,0.01073,-0.00059,-0.14956,265.12721,0.92210,0.00178,0.02857,-0.00067,-0.32808,-101.09033,-1.82145,0.00035,0.00983,-0.00140
>10115	1	0.09192,-591.89460,-0.13289,-0.00412,-0.08565,-0.00055,0.14222,-879.41805,1.16349,-0.00691,-0.16198,-0.00027,-0.06125,919.36916,0.48806,0.00620,0.14590,-0.00046,-0.04374,587.31467,0.44546,0.00591,0.08732,-0.00045
>10116	1	0.15602,208.35422,-1.01674,0.00044,0.03294,-0.00050,-0.12958,-169.27883,-1.70609,-0.00274,-0.07200,-0.00128,-0.06164,97.42653,2.44351,0.00163,-0.01416,-0.00034,-0.23719,73.93653,-1.36176,0.00114,0.01433,-0.00048
>10120	1	-0.00419,-98.48146,-0.81292,0.00018,0.00332,0.00012,0.18555,-141.11043,2.67641,-0.00005,0.00090,-0.00057,-0.13705,-1.81609,-1.49438,-0.00076,-0.00013,-0.00134,0.01017,-8.49802,-1.10018,-0.00068,-0.02388,-0.00078
>10121	1	0.09182,233.17666,1.83361,0.00189,0.05758,-0.00016,-0.03445,-264.16968,1.42604,-0.00215,-0.05433,-0.00104,-0.07478,-403.84301,0.25683,-0.00439,-0.07611,-0.00078,-0.14506,-444.38408,-2.27251,-0.00336,-0.08597,-0.00033
>10122	1	0.11148,241.47262,1.19338,0.00089,0.03632,-0.00080,-0.06753,-718.04896,1.49219,-0.00567,-0.15675,-0.00112,0.07791,-651.84278,0.15599,-0.00397,-0.10551,-0.00050,-0.40586,-573.01280,-1.39359,-0.00510,-0.15101,-0.00122
>10123	1	0.83732,305.51719,3.34022,0.00156,0.04702,-0.00081,0.52565,-1099.20526,1.74440,-0.00740,-0.18901,-0.00026,0.34477,-628.64724,-0.12605,-0.00334,-0.06361,-0.00077,-0.05066,459.76810,-0.64809,0.00446,0.12000,0.00031
>10124	1	0.29416,689.24074,1.87507,0.00498,0.11135,0.00114,-0.39660,-108.83947,-3.35849,0.00080,0.03013,-0.00130,-0.30621,-729.61518,-1.67905,-0.00273,-0.05212,-0.00054,0.07843,-1177.45745,-1.54280,-0.00733,-0.15133,0.00044
>10130	1	-0.53788,-645.41025,-2.77918,-0.00461,-0.11583,0.00034,0.29052,445.32017,0.27701,0.00343,0.10146,-0.00060,-0.17442,-457.11596,0.94173,-0.00472,-0.14199,-0.00064,-0.15007,249.09755,-2.68847,0.00254,0.09585,-0.00091
>10131	1	0.05962,-580.14992,-1.79369,-0.00302,-0.06670,-0.00063,-0.10139,278.00398,-1.59847,0.00150,0.05100,-0.00181,0.32144,-44.89427,4.14147,-0.00020,-0.02205,-0.00091,-0.10001,-55.21159,-0.65190,-0.00023,0.00285,-0.00078
>10132	1	-0.04989,-284.06050,-3.91984,-0.00133,-0.02296,-0.00038,-0.04867,136.97224,0.19498,0.00056,0.02198,-0.00028,-0.37720,-124.90334,1.54004,-0.00089,-0.04795,0.00028,-0.40364,-117.11718,-5.94976,-0.00096,-0.02679,-0.00104
>10134	1	-0.19405,-188.00293,-3.70641,-0.00043,-0.00352,-0.00102,0.02363,53.17394,-0.34229,-0.00082,-0.02368,-0.00205,0.14518,-29.16405,3.07178,-0.00045,-0.00888,0.00041,-0.11523,-212.83403,-2.93819,-0.00101,-0.00339,0.00021
>10135	1	-0.04636,-434.33478,-1.45951,-0.00323,-0.05578,-0.00022,-0.13342,-176.56310,-0.22787,-0.00227,-0.03219,-0.00056,-0.07067,-249.33268,-2.57970,-0.00193,-0.03056,-0.00102,-0.17084,547.53312,0.21624,0.00506,0.05768,0.00069
>10136	1	-0.02189,194.27515,0.73100,0.00029,0.01203,-0.00007,-0.00078,-205.98207,-0.26568,-0.00163,-0.04325,-0.00092,0.03162,-83.46695,-0.42364,0.00026,0.01056,-0.00054,-0.04070,-168.22748,-0.55868,0.00006,-0.01862,0.00024
>10137	1	0.08686,185.38188,0.88509,0.00089,0.03603,-0.00087,-0.02769,274.26306,-1.00056,0.00153,0.03970,-0.00133,-0.11831,118.49161,-0.44340,0.00062,0.02270,0.00102,-0.09508,191.92282,0.19904,0.00116,0.03026,-0.00015
>10138	1	-0.19404,-800.22076,-3.32400,-0.00337,-0.08880,-0.00006,0.12695,67.46781,1.47778,-0.00148,-0.01181,-0.00108,0.04085,188.19942,0.12375,0.00154,0.03268,-0.00059,-0.10462,-332.49525,-0.55000,-0.00307,-0.04812,-0.00092
>10139	1	-0.08012,-138.98901,-1.43571,-0.00009,-0.00596,-0.00027,0.19201,-36.67556,-1.04661,0.00081,0.02187,-0.00014,0.18543,110.91853,2.22402,0.00072,0.01626,0.00042,-0.30086,-65.71967,-3.78736,-0.00087,0.00114,-0.00126
>10140	1	0.13534,17.35624,-1.28589,0.00013,0.03262,0.00228,-0.25642,32.60458,-1.00228,0.00041,0.02000,0.00280,-0.08351,47.59440,-0.83691,-0.00030,-0.01073,0.00051,0.00350,252.26106,1.87081,0.00026,-0.00295,0.00127
>10141	1	-0.19046,-293.09410,-0.94558,-0.00314,-0.05120,0.00002,0.02010,46.61875,0.46152,0.00138,0.02211,0.00037,0.13490,-334.36185,0.71747,-0.00321,-0.06057,0.00082,0.03119,-514.78727,-0.73161,-0.00267,-0.06515,0.00046
>10142	1	-0.18814,-161.73029,-1.08489,-0.00191,-0.05452,0.00056,-0.21855,-87.33086,-0.11454,-0.00010,-0.01546,-0.00055,-0.06126,176.55278,-0.52511,0.00139,0.03404,-0.00131,-0.10146,-1120.76031,1.30799,-0.00867,-0.21282,-0.00016
>10143	1	-0.09905,-211.91647,-0.29008,-0.00108,-0.03611,-0.00077,-0.10167,225.75967,-0.41191,0.00097,0.01779,0.00118,-0.00521,-278.42245,0.11479,-0.00255,-0.06274,-0.00113,-0.44060,36.99704,-1.81246,0.00006,-0.01930,-0.00071
>10145	1	0.14080,145.37257,0.92759,0.00048,0.01628,0.00039,0.08514,-294.30780,0.93018,-0.00115,-0.03978,-0.00195,0.02755,-52.06400,0.54434,-0.00050,-0.01745,-0.00008,-0.01736,-282.94614,0.54542,-0.00210,-0.06292,0.00037
>10146	1	0.06395,11.07561,0.36416,-0.00001,0.01583,0.00112,0.16873,-207.94238,0.78557,-0.00134,-0.03537,-0.00122,-0.15339,372.41416,0.34244,0.00190,0.03457,-0.00101,0.11019,-287.58462,-0.99115,-0.00016,-0.01709,0.00018
>10147	1	-0.26372,-73.32618,0.53824,-0.00057,-0.02414,-0.00004,-0.04851,-241.07348,-0.77688,-0.00217,-0.06320,-0.00013,-0.06368,-61.11552,0.27067,-0.00033,-0.03339,-0.00005,-0.10448,104.21364,-0.66429,0.00143,0.03709,0.00015
>10148	1	-0.07822,139.47841,-0.49167,0.00049,0.00241,-0.00518,-0.00279,-126.57850,0.11415,-0.00069,-0.01555,0.00158,-0.30914,-281.09639,-3.17826,-0.00108,-0.03384,-0.00294,0.03565,-219.98000,-0.13878,-0.00150,-0.02218,0.00679
>10149	1	-0.01953,143.41395,0.03060,0.00082,0.01026,-0.00348,-0.02813,-174.42459,-0.18871,-0.00090,-0.02231,0.00020,-0.20970,-227.21365,-1.44620,-0.00160,-0.04260,-0.00072,-0.03331,-465.95716,0.04567,-0.00299,-0.06800,0.00545
>10150	1	-0.13891,240.02008,-0.47386,0.00138,0.03030,-0.00398,-0.29290,-273.81103,-0.25797,-0.00279,-0.07245,0.00249,-0.11593,11.57736,-0.36868,0.00007,0.00591,0.00263,0.26957,-5.71667,-0.99166,0.00147,0.03924,-0.00693
>10151	1	-0.13975,164.24862,0.41631,0.00050,0.02102,-0.00114,-0.15626,-104.21990,-0.46941,-0.00185,-0.03843,0.00301,0.30578,427.55835,-1.53449,0.00320,0.11300,0.00388,-0.33522,110.40139,-1.71931,0.00045,0.00662,-0.00270
>10152	1	-0.26032,-323.25782,-2.37081,-0.00178,-0.04825,-0.00041,-0.01220,-278.95325,-0.69313,-0.00095,-0.01626,0.00022,-0.26237,518.56826,-2.93898,0.00250,0.07134,-0.00016,0.09596,-247.33980,0.29613,-0.00077,-0.02143,0.00048
>10153	1	0.19145,-117.44084,1.41273,-0.00050,-0.01531,-0.00023,0.19943,-172.45960,2.17300,-0.00145,-0.03887,0.00039,-0.09203,81.62785,-0.87333,0.00084,0.02100,-0.00027,-0.17358,35.87319,-1.95625,0.00007,0.01151,0.00022
>10154	1	0.00896,-624.91697,-0.47057,-0.00241,-0.08923,0.00118,-0.35267,304.53536,-2.52139,0.00147,0.05677,-0.00171,0.08110,-363.93532,1.24749,-0.00290,-0.07972,-0.00079,0.06130,166.06975,1.55829,0.00004,0.01904,-0.00346
>10155	1	-0.09259,-310.00532,-2.11223,-0.00149,-0.03868,-0.00136,-0.21403,-173.69736,-0.95401,-0.00112,-0.03840,-0.00214,0.00209,305.80595,0.80202,0.00111,0.02139,0.00118,0.09392,-507.60394,-0.25947,-0.00285,-0.05372,0.00018
>10156	1	-0.06786,206.96747,0.44204,0.00036,0.01173,-0.00119,-0.17793,2.07544,-0.41810,0.00039,-0.00435,0.00102,-0.04627,-74.68222,-1.47280,-0.00017,-0.00472,-0.00150,0.55254,-125.63389,4.96330,-0.00136,-0.02323,-0.00001
>10157	1	-0.28305,-112.75104,-2.58401,-0.00020,0.00426,-0.00009,0.20485,54.06203,2.07140,0.00011,-0.00071,-0.00021,-0.53840,-287.28322,-5.36139,-0.00108,-0.01530,-0.00002,0.18938,141.57197,2.14151,0.00005,-0.00526,-0.00004
>10158	1	0.26362,66.09714,0.43987,0.00008,0.02028,-0.00064,-0.92884,-59.42433,-2.67696,-0.00090,-0.03961,-0.00048,-0.88297,-174.88140,-3.93754,0.00037,-0.02353,0.00039,0.14790,-122.61478,0.30574,-0.00025,-0.03287,-0.00100
>10159	1	-0.17257,63.02988,-0.87121,0.00011,0.00562,0.00174,-0.06463,-235.54354,-3.12997,-0.00116,-0.03130,-0.00043,0.18296,18.84995,0.98997,0.00027,0.00903,0.00040,-0.45241,55.08354,-2.06390,-0.00011,0.00329,0.00086
>10160	1	-0.33273,-229.42316,-4.12978,-0.00230,-0.02149,-0.00106,-0.22110,66.67404,0.09922,0.00182,0.04709,0.00095,0.38313,-519.72136,3.28068,-0.00672,-0.13081,0.00097,-0.71517,230.58509,-4.91106,0.00212,-0.01680,-0.00230
>10161	1	0.53192,5.19105,0.34266,0.00024,0.03533,0.00002,-1.05868,-164.95964,-4.92255,-0.00278,-0.04324,-0.00004,-1.50392,142.14791,-0.55084,0.00145,-0.04623,0.00005,0.31667,-151.20766,3.34359,-0.00392,-0.10089,-0.00016
>10162	1	-0.91529,-252.04800,-6.23600,-0.00033,-0.00504,-0.00028,0.57474,-547.19500,0.86500,-0.00260,-0.05698,-0.00039,-0.20636,831.61000,2.03000,0.00307,0.06779,0.00047,-1.86955,-153.10500,-5.18000,0.00012,-0.00218,0.00001
>10163	1	-0.04517,-35.32750,-1.00368,0.00011,0.00469,-0.00042,-0.08608,102.67875,-0.48853,-0.00019,0.00817,-0.00210,0.04428,0.31107,1.09196,0.00018,-0.01038,0.00078,-0.02645,92.68583,-0.51657,-0.00002,0.00071,-0.00052
>10164	1	-0.08602,-508.84061,-0.29245,-0.00306,-0.08726,-0.00030,-0.05582,257.75224,-0.40845,0.00143,0.04552,-0.00031,0.08880,-632.42454,0.08684,-0.00408,-0.09559,-0.00077,-0.14140,-67.32585,-0.80673,-0.00055,-0.00283,-0.00136
>10165	1	-0.03656,111.46422,-2.59109,0.00058,0.01495,-0.00017,-0.19176,-226.45273,-2.99833,-0.00109,-0.02235,-0.00010,0.35077,-689.01852,5.53653,-0.00472,-0.10317,0.00022,-0.54934,-819.73293,-8.50728,-0.00319,-0.03496,-0.00043
>10166	1	-0.00414,-1271.31490,-0.09823,-0.00690,-0.17507,-0.00954,-0.38891,-11.43233,-5.69518,-0.00155,0.04113,0.00938,0.04004,-589.82383,0.22510,-0.00094,-0.07326,-0.01017,0.17878,2229.39986,3.07129,0.01071,0.24750,0.00836
>10167	1	0.45940,-1882.45250,3.04160,-0.01564,-0.31491,-0.00199,-0.37452,-672.50667,-4.88640,-0.00187,-0.04323,-0.00269,-0.92443,1946.86000,-6.13440,0.01079,0.29197,0.00130,-1.00664,-1312.74000,-2.44440,-0.00694,-0.28995,0.00094
>10168	1	0.02051,293.14295,-0.39802,0.00122,0.02988,-0.00075,0.02315,147.46293,0.91536,0.00098,0.03059,0.00063,-0.20798,27.16187,-1.99102,0.00071,0.01788,0.00030,-0.35807,209.83640,-3.51154,0.00101,0.03171,0.00190
>10180	1	0.05530,-341.27319,0.37934,-0.00386,-0.10480,0.00016,-0.35832,-97.95368,-0.95556,-0.00176,-0.03356,-0.00011,-0.09855,449.89342,0.17426,0.00489,0.12361,0.00035,-0.07380,-905.56047,-0.72531,-0.00773,-0.18280,0.00039
>10182	1	0.15812,-301.31637,1.89243,-0.00299,-0.10520,-0.00025,-0.17967,327.71010,0.58323,0.00304,0.04859,-0.00082,-0.19378,-94.39525,0.07196,-0.00008,-0.01234,-0.00037,-0.16967,-359.15190,-0.58404,-0.00275,-0.05617,0.00219
>10183	1	0.22270,-322.50019,1.16261,-0.00310,-0.08089,-0.00033,-0.11546,2.77482,0.94118,0.00068,-0.00467,-0.00059,-0.36168,147.66736,-1.12748,0.00124,0.02856,-0.00141,-0.07064,-489.90590,-1.93735,-0.00330,-0.04269,0.00153
