	f21	f61	f39	f54	f41	f3	f93	f55	f20	f58	f85	f59	f7	f46	f89	f97	f26	f104	f34	f74	f35	f122	f70	f160	f30	f135	f38	f42	f147	f112	f151	f143	f50	f108	f78	f22	f11	preds_binary
12	-0.011	-0.00228	0.03907	0.02658	0.02658	0.01732	0.00218	-0.01699	0.01732	0.02658	0.00218	-0.01699	0.01732	-0.01699	0.00218	0.00218	0.03907	-0.00557	-0.011	-0.00228	0.03907	0.01803	-0.00228	0.01435	-0.011	0.01803	-0.011	-0.01699	0.01435	-0.00557	0.01435	0.01435	0.02658	-0.00557	-0.00228	0.03907	0.01732	1
13	0.0216	-0.03719	-0.01652	-0.00089	-0.00089	0.00306	-0.00604	0.04618	0.00306	-0.00089	-0.00604	0.04618	0.00306	0.04618	-0.00604	-0.00604	-0.01652	-0.0052	0.0216	-0.03719	-0.01652	0.00574	-0.03719	-0.01163	0.0216	0.00574	0.0216	0.04618	-0.01163	-0.0052	-0.01163	-0.01163	-0.00089	-0.0052	-0.03719	-0.01652	0.00306	1
14	-0.00556	-0.01178	-0.01497	-0.0244	-0.0244	-0.00829	-0.00149	-3e-05	-0.00829	-0.0244	-0.00149	-3e-05	-0.00829	-3e-05	-0.00149	-0.00149	-0.01497	-0.01118	-0.00556	-0.01178	-0.01497	-0.02442	-0.01178	0.00318	-0.00556	-0.02442	-0.00556	-3e-05	0.00318	-0.01118	0.00318	0.00318	-0.0244	-0.01118	-0.01178	-0.01497	-0.00829	1
15	-0.00125	-0.00243	0.01718	0.00094	0.00094	0.00389	-0.00163	0.00118	0.00389	0.00094	-0.00163	0.00118	0.00389	0.00118	-0.00163	-0.00163	0.01718	0.01492	-0.00125	-0.00243	0.01718	0.04067	-0.00243	0.00012	-0.00125	0.04067	-0.00125	0.00118	0.00012	0.01492	0.00012	0.00012	0.00094	0.01492	-0.00243	0.01718	0.00389	1
16	-0.0014	-0.01489	0.01581	-0.00786	-0.00786	0.01086	0.02401	0.00723	0.01086	-0.00786	0.02401	0.00723	0.01086	0.00723	0.02401	0.02401	0.01581	-0.04336	-0.0014	-0.01489	0.01581	0.01885	-0.01489	0.01296	-0.0014	0.01885	-0.0014	0.00723	0.01296	-0.04336	0.01296	0.01296	-0.00786	-0.04336	-0.01489	0.01581	0.01086	0
17	0.00122	0.00132	0.01186	0.02174	0.02174	0.0134	-0.00356	0.0092	0.0134	0.02174	-0.00356	0.0092	0.0134	0.0092	-0.00356	-0.00356	0.01186	0.00764	0.00122	0.00132	0.01186	0.00853	0.00132	0.01034	0.00122	0.00853	0.00122	0.0092	0.01034	0.00764	0.01034	0.01034	0.02174	0.00764	0.00132	0.01186	0.0134	1
18	-0.00288	0.00614	0.03625	-0.00176	-0.00176	-0.00736	0.00967	0.03182	-0.00736	-0.00176	0.00967	0.03182	-0.00736	0.03182	0.00967	0.00967	0.03625	-0.01671	-0.00288	0.00614	0.03625	0.0374	0.00614	0.00766	-0.00288	0.0374	-0.00288	0.03182	0.00766	-0.01671	0.00766	0.00766	-0.00176	-0.01671	0.00614	0.03625	-0.00736	0
19	0.00374	-0.00697	-0.00756	-0.00349	-0.00349	0.00012	0.00957	0.00421	0.00012	-0.00349	0.00957	0.00421	0.00012	0.00421	0.00957	0.00957	-0.00756	0.01929	0.00374	-0.00697	-0.00756	-0.00035	-0.00697	0.00434	0.00374	-0.00035	0.00374	0.00421	0.00434	0.01929	0.00434	0.00434	-0.00349	0.01929	-0.00697	-0.00756	0.00012	1
20	0.00724	0.00901	0.03391	0.00615	0.00615	0.02045	0.00168	0.02199	0.02045	0.00615	0.00168	0.02199	0.02045	0.02199	0.00168	0.00168	0.03391	-0.02148	0.00724	0.00901	0.03391	0.01974	0.00901	0.02107	0.00724	0.01974	0.00724	0.02199	0.02107	-0.02148	0.02107	0.02107	0.00615	-0.02148	0.00901	0.03391	0.02045	0
21	-0.00179	0.00055	0.00082	0.0016	0.0016	0.02358	0.03411	0.01544	0.02358	0.0016	0.03411	0.01544	0.02358	0.01544	0.03411	0.03411	0.00082	-0.00854	-0.00179	0.00055	0.00082	0.02733	0.00055	0.01858	-0.00179	0.02733	-0.00179	0.01544	0.01858	-0.00854	0.01858	0.01858	0.0016	-0.00854	0.00055	0.00082	0.02358	0
22	0.00574	0.00214	0.02668	-0.00185	-0.00185	0.01296	-0.00057	0.01073	0.01296	-0.00185	-0.00057	0.01073	0.01296	0.01073	-0.00057	-0.00057	0.02668	0.01792	0.00574	0.00214	0.02668	0.01403	0.00214	0.0115	0.00574	0.01403	0.00574	0.01073	0.0115	0.01792	0.0115	0.0115	-0.00185	0.01792	0.00214	0.02668	0.01296	1
23	0.00295	0.00873	0.03348	0.00394	0.00394	0.02369	0.00238	0.01939	0.02369	0.00394	0.00238	0.01939	0.02369	0.01939	0.00238	0.00238	0.03348	-0.02252	0.00295	0.00873	0.03348	0.02041	0.00873	0.02473	0.00295	0.02041	0.00295	0.01939	0.02473	-0.02252	0.02473	0.02473	0.00394	-0.02252	0.00873	0.03348	0.02369	0
24	0.00122	0.00132	0.01186	0.02174	0.02174	0.0134	-0.00356	0.0092	0.0134	0.02174	-0.00356	0.0092	0.0134	0.0092	-0.00356	-0.00356	0.01186	0.00764	0.00122	0.00132	0.01186	0.00853	0.00132	0.01034	0.00122	0.00853	0.00122	0.0092	0.01034	0.00764	0.01034	0.01034	0.02174	0.00764	0.00132	0.01186	0.0134	1
25	-0.00624	-0.00534	0.00721	0.02046	0.02046	0.03137	0.01561	-0.05126	0.03137	0.02046	0.01561	-0.05126	0.03137	-0.05126	0.01561	0.01561	0.00721	0.04918	-0.00624	-0.00534	0.00721	-0.02083	-0.00534	-0.00845	-0.00624	-0.02083	-0.00624	-0.05126	-0.00845	0.04918	-0.00845	-0.00845	0.02046	0.04918	-0.00534	0.00721	0.03137	0
26	0.00218	-0.00287	0.01698	0.00596	0.00596	0.00033	-0.01344	-0.00986	0.00033	0.00596	-0.01344	-0.00986	0.00033	-0.00986	-0.01344	-0.01344	0.01698	-0.00279	0.00218	-0.00287	0.01698	-0.00249	-0.00287	0.02544	0.00218	-0.00249	0.00218	-0.00986	0.02544	-0.00279	0.02544	0.02544	0.00596	-0.00279	-0.00287	0.01698	0.00033	1
27	-0.00179	0.00055	0.00082	0.0016	0.0016	0.02358	0.03411	0.01544	0.02358	0.0016	0.03411	0.01544	0.02358	0.01544	0.03411	0.03411	0.00082	-0.00854	-0.00179	0.00055	0.00082	0.02733	0.00055	0.01858	-0.00179	0.02733	-0.00179	0.01544	0.01858	-0.00854	0.01858	0.01858	0.0016	-0.00854	0.00055	0.00082	0.02358	0
28	0.00571	-9e-05	0.00456	0.02399	0.02399	0.01378	-0.02027	0.00836	0.01378	0.02399	-0.02027	0.00836	0.01378	0.00836	-0.02027	-0.02027	0.00456	0.00099	0.00571	-9e-05	0.00456	0.00595	-9e-05	0.02109	0.00571	0.00595	0.00571	0.00836	0.02109	0.00099	0.02109	0.02109	0.02399	0.00099	-9e-05	0.00456	0.01378	0
29	0.00246	-0.00514	0.02382	-0.00068	-0.00068	-0.0096	-0.00182	-0.01462	-0.0096	-0.00068	-0.00182	-0.01462	-0.0096	-0.01462	-0.00182	-0.00182	0.02382	0.02176	0.00246	-0.00514	0.02382	0.01477	-0.00514	0.00889	0.00246	0.01477	0.00246	-0.01462	0.00889	0.02176	0.00889	0.00889	-0.00068	0.02176	-0.00514	0.02382	-0.0096	1
30	-0.00112	0.00761	0.01337	-0.00069	-0.00069	-0.00961	-0.02662	0.01462	-0.00961	-0.00069	-0.02662	0.01462	-0.00961	0.01462	-0.02662	-0.02662	0.01337	0.01479	-0.00112	0.00761	0.01337	0.00634	0.00761	-0.02525	-0.00112	0.00634	-0.00112	0.01462	-0.02525	0.01479	-0.02525	-0.02525	-0.00069	0.01479	0.00761	0.01337	-0.00961	0
31	-0.0037	0.01128	-0.00943	0.01745	0.01745	-0.0045	-0.02978	-0.01853	-0.0045	0.01745	-0.02978	-0.01853	-0.0045	-0.01853	-0.02978	-0.02978	-0.00943	0.01462	-0.0037	0.01128	-0.00943	0.01645	0.01128	0.007	-0.0037	0.01645	-0.0037	-0.01853	0.007	0.01462	0.007	0.007	0.01745	0.01462	0.01128	-0.00943	-0.0045	1
32	0.00319	0.00533	-0.01323	-0.00493	-0.00493	0.00289	-0.02322	-0.01599	0.00289	-0.00493	-0.02322	-0.01599	0.00289	-0.01599	-0.02322	-0.02322	-0.01323	-0.01651	0.00319	0.00533	-0.01323	0.01261	0.00533	-0.0097	0.00319	0.01261	0.00319	-0.01599	-0.0097	-0.01651	-0.0097	-0.0097	-0.00493	-0.01651	0.00533	-0.01323	0.00289	1
33	-0.00072	-0.00075	0.00662	0.00324	0.00324	0.00174	-0.00771	-0.00341	0.00174	0.00324	-0.00771	-0.00341	0.00174	-0.00341	-0.00771	-0.00771	0.00662	0.00617	-0.00072	-0.00075	0.00662	-0.01951	-0.00075	-0.00318	-0.00072	-0.01951	-0.00072	-0.00341	-0.00318	0.00617	-0.00318	-0.00318	0.00324	0.00617	-0.00075	0.00662	0.00174	1
34	0.01108	-0.00346	-0.00418	0.00983	0.00983	0.01179	-0.0074	-0.02902	0.01179	0.00983	-0.0074	-0.02902	0.01179	-0.02902	-0.0074	-0.0074	-0.00418	-0.02505	0.01108	-0.00346	-0.00418	0.06339	-0.00346	0.00202	0.01108	0.06339	0.01108	-0.02902	0.00202	-0.02505	0.00202	0.00202	0.00983	-0.02505	-0.00346	-0.00418	0.01179	1
35	-0.01461	0.00621	-0.01843	0.00711	0.00711	0.00227	0.0151	0.00059	0.00227	0.00711	0.0151	0.00059	0.00227	0.00059	0.0151	0.0151	-0.01843	0.01878	-0.01461	0.00621	-0.01843	-0.00312	0.00621	0.01339	-0.01461	-0.00312	-0.01461	0.00059	0.01339	0.01878	0.01339	0.01339	0.00711	0.01878	0.00621	-0.01843	0.00227	0
36	-0.01664	0.00647	-0.0287	0.01345	0.01345	-0.0002	0.01442	-0.00489	-0.0002	0.01345	0.01442	-0.00489	-0.0002	-0.00489	0.01442	0.01442	-0.0287	0.02192	-0.01664	0.00647	-0.0287	0.01037	0.00647	0.01192	-0.01664	0.01037	-0.01664	-0.00489	0.01192	0.02192	0.01192	0.01192	0.01345	0.02192	0.00647	-0.0287	-0.0002	0
37	-0.00202	0.00248	-0.00668	0.00045	0.00045	0.01127	0.01377	-0.03907	0.01127	0.00045	0.01377	-0.03907	0.01127	-0.03907	0.01377	0.01377	-0.00668	-0.0283	-0.00202	0.00248	-0.00668	0.02309	0.00248	0.00109	-0.00202	0.02309	-0.00202	-0.03907	0.00109	-0.0283	0.00109	0.00109	0.00045	-0.0283	0.00248	-0.00668	0.01127	1
38	0.00216	0.00523	-0.02165	-0.00493	-0.00493	0.00326	-0.03567	-0.01599	0.00326	-0.00493	-0.03567	-0.01599	0.00326	-0.01599	-0.03567	-0.03567	-0.02165	-0.01974	0.00216	0.00523	-0.02165	0.02162	0.00523	-0.00833	0.00216	0.02162	0.00216	-0.01599	-0.00833	-0.01974	-0.00833	-0.00833	-0.00493	-0.01974	0.00523	-0.02165	0.00326	0
39	0.00047	0.00274	0.03851	-0.00283	-0.00283	-0.00328	0.0052	0.02932	-0.00328	-0.00283	0.0052	0.02932	-0.00328	0.02932	0.0052	0.0052	0.03851	-0.01505	0.00047	0.00274	0.03851	0.03066	0.00274	0.00327	0.00047	0.03066	0.00047	0.02932	0.00327	-0.01505	0.00327	0.00327	-0.00283	-0.01505	0.00274	0.03851	-0.00328	0
40	-0.01241	-0.00738	-0.02456	-0.01353	-0.01353	0.00195	0.01649	-0.02034	0.00195	-0.01353	0.01649	-0.02034	0.00195	-0.02034	0.01649	0.01649	-0.02456	0.01449	-0.01241	-0.00738	-0.02456	-0.02074	-0.00738	0.01636	-0.01241	-0.02074	-0.01241	-0.02034	0.01636	0.01449	0.01636	0.01636	-0.01353	0.01449	-0.00738	-0.02456	0.00195	0
41	0.02479	-0.01805	-0.02507	0.00037	0.00037	0.01171	0.00614	-0.04798	0.01171	0.00037	0.00614	-0.04798	0.01171	-0.04798	0.00614	0.00614	-0.02507	-0.0206	0.02479	-0.01805	-0.02507	0.01739	-0.01805	-0.00613	0.02479	0.01739	0.02479	-0.04798	-0.00613	-0.0206	-0.00613	-0.00613	0.00037	-0.0206	-0.01805	-0.02507	0.01171	0
42	0.0059	0.00553	-0.00405	0.02696	0.02696	0.01368	-0.02414	-0.00808	0.01368	0.02696	-0.02414	-0.00808	0.01368	-0.00808	-0.02414	-0.02414	-0.00405	0.00276	0.0059	0.00553	-0.00405	0.00459	0.00553	0.01498	0.0059	0.00459	0.0059	-0.00808	0.01498	0.00276	0.01498	0.01498	0.02696	0.00276	0.00553	-0.00405	0.01368	1
43	-0.00836	-0.00551	-0.00442	-0.01912	-0.01912	0.01009	-0.01007	0.00213	0.01009	-0.01912	-0.01007	0.00213	0.01009	0.00213	-0.01007	-0.01007	-0.00442	0.00905	-0.00836	-0.00551	-0.00442	-0.00547	-0.00551	-0.01323	-0.00836	-0.00547	-0.00836	0.00213	-0.01323	0.00905	-0.01323	-0.01323	-0.01912	0.00905	-0.00551	-0.00442	0.01009	1
44	0.00195	-0.00071	0.00281	0.00539	0.00539	0.0113	0.00561	-0.0306	0.0113	0.00539	0.00561	-0.0306	0.0113	-0.0306	0.00561	0.00561	0.00281	-0.02442	0.00195	-0.00071	0.00281	-0.02759	-0.00071	0.02086	0.00195	-0.02759	0.00195	-0.0306	0.02086	-0.02442	0.02086	0.02086	0.00539	-0.02442	-0.00071	0.00281	0.0113	1
45	0.00696	0.00917	0.0073	0.01216	0.01216	5e-05	-0.03712	-0.02557	5e-05	0.01216	-0.03712	-0.02557	5e-05	-0.02557	-0.03712	-0.03712	0.0073	-0.01201	0.00696	0.00917	0.0073	0.01348	0.00917	0.01669	0.00696	0.01348	0.00696	-0.02557	0.01669	-0.01201	0.01669	0.01669	0.01216	-0.01201	0.00917	0.0073	5e-05	1
46	0.0032	0.00502	-0.04233	0.01271	0.01271	-0.00449	-0.02283	-0.00503	-0.00449	0.01271	-0.02283	-0.00503	-0.00449	-0.00503	-0.02283	-0.02283	-0.04233	-0.00621	0.0032	0.00502	-0.04233	0.01227	0.00502	-0.00522	0.0032	0.01227	0.0032	-0.00503	-0.00522	-0.00621	-0.00522	-0.00522	0.01271	-0.00621	0.00502	-0.04233	-0.00449	1
47	-0.00651	-0.00373	0.0012	-0.00026	-0.00026	0.00527	0.01205	-0.01033	0.00527	-0.00026	0.01205	-0.01033	0.00527	-0.01033	0.01205	0.01205	0.0012	0.01522	-0.00651	-0.00373	0.0012	-0.01307	-0.00373	0.01067	-0.00651	-0.01307	-0.00651	-0.01033	0.01067	0.01522	0.01067	0.01067	-0.00026	0.01522	-0.00373	0.0012	0.00527	1
48	0.0107	-0.0059	-0.01809	0.01374	0.01374	0.00784	-0.01259	-0.0062	0.00784	0.01374	-0.01259	-0.0062	0.00784	-0.0062	-0.01259	-0.01259	-0.01809	-0.00569	0.0107	-0.0059	-0.01809	-0.02312	-0.0059	0.01484	0.0107	-0.02312	0.0107	-0.0062	0.01484	-0.00569	0.01484	0.01484	0.01374	-0.00569	-0.0059	-0.01809	0.00784	1
49	-0.01128	-0.00458	0.01777	0.01102	0.01102	-0.01353	-0.01926	0.0125	-0.01353	0.01102	-0.01926	0.0125	-0.01353	0.0125	-0.01926	-0.01926	0.01777	-0.00025	-0.01128	-0.00458	0.01777	0.00943	-0.00458	-0.01069	-0.01128	0.00943	-0.01128	0.0125	-0.01069	-0.00025	-0.01069	-0.01069	0.01102	-0.00025	-0.00458	0.01777	-0.01353	1
50	-0.01379	0.00301	0.01917	0.00116	0.00116	0.00755	0.00067	-0.0571	0.00755	0.00116	0.00067	-0.0571	0.00755	-0.0571	0.00067	0.00067	0.01917	-0.00471	-0.01379	0.00301	0.01917	0.00507	0.00301	0.02083	-0.01379	0.00507	-0.01379	-0.0571	0.02083	-0.00471	0.02083	0.02083	0.00116	-0.00471	0.00301	0.01917	0.00755	1
51	-0.00256	-0.00613	0.00968	0.00126	0.00126	0.00546	-0.01376	-0.0029	0.00546	0.00126	-0.01376	-0.0029	0.00546	-0.0029	-0.01376	-0.01376	0.00968	0.00338	-0.00256	-0.00613	0.00968	-0.02591	-0.00613	0.00178	-0.00256	-0.02591	-0.00256	-0.0029	0.00178	0.00338	0.00178	0.00178	0.00126	0.00338	-0.00613	0.00968	0.00546	1
52	-0.00101	-0.00349	0.0262	0.00047	0.00047	0.01104	0.00599	-0.0054	0.01104	0.00047	0.00599	-0.0054	0.01104	-0.0054	0.00599	0.00599	0.0262	-0.00368	-0.00101	-0.00349	0.0262	0.01739	-0.00349	0.00921	-0.00101	0.01739	-0.00101	-0.0054	0.00921	-0.00368	0.00921	0.00921	0.00047	-0.00368	-0.00349	0.0262	0.01104	1
53	-0.01236	0.01583	-0.02759	0.02338	0.02338	0.00095	-0.00175	0.04772	0.00095	0.02338	-0.00175	0.04772	0.00095	0.04772	-0.00175	-0.00175	-0.02759	-0.01286	-0.01236	0.01583	-0.02759	0.04507	0.01583	0.0011	-0.01236	0.04507	-0.01236	0.04772	0.0011	-0.01286	0.0011	0.0011	0.02338	-0.01286	0.01583	-0.02759	0.00095	0
54	0.00294	-0.00507	0.00133	-0.00213	-0.00213	-0.00118	0.01318	0.00175	-0.00118	-0.00213	0.01318	0.00175	-0.00118	0.00175	0.01318	0.01318	0.00133	0.02541	0.00294	-0.00507	0.00133	0.00134	-0.00507	0.00923	0.00294	0.00134	0.00294	0.00175	0.00923	0.02541	0.00923	0.00923	-0.00213	0.02541	-0.00507	0.00133	-0.00118	0
55	0.0077	-0.00778	-0.00595	-0.00194	-0.00194	-0.0045	0.0057	0.00576	-0.0045	-0.00194	0.0057	0.00576	-0.0045	0.00576	0.0057	0.0057	-0.00595	0.01629	0.0077	-0.00778	-0.00595	0.00919	-0.00778	0.00554	0.0077	0.00919	0.0077	0.00576	0.00554	0.01629	0.00554	0.00554	-0.00194	0.01629	-0.00778	-0.00595	-0.0045	1
56	0.00398	-0.00321	0.01729	0.00604	0.00604	0.0009	0.00227	-0.00687	0.0009	0.00604	0.00227	-0.00687	0.0009	-0.00687	0.00227	0.00227	0.01729	-0.01722	0.00398	-0.00321	0.01729	-0.00195	-0.00321	0.02355	0.00398	-0.00195	0.00398	-0.00687	0.02355	-0.01722	0.02355	0.02355	0.00604	-0.01722	-0.00321	0.01729	0.0009	1
57	-0.00802	0.00445	0.01465	-0.00306	-0.00306	0.00913	0.00855	-0.04637	0.00913	-0.00306	0.00855	-0.04637	0.00913	-0.04637	0.00855	0.00855	0.01465	-0.00778	-0.00802	0.00445	0.01465	-0.00728	0.00445	0.01661	-0.00802	-0.00728	-0.00802	-0.04637	0.01661	-0.00778	0.01661	0.01661	-0.00306	-0.00778	0.00445	0.01465	0.00913	1
58	-0.00119	-0.00377	-0.02538	0.00062	0.00062	-0.00207	-0.00884	-0.03565	-0.00207	0.00062	-0.00884	-0.03565	-0.00207	-0.03565	-0.00884	-0.00884	-0.02538	0.01654	-0.00119	-0.00377	-0.02538	-0.00318	-0.00377	-0.00698	-0.00119	-0.00318	-0.00119	-0.03565	-0.00698	0.01654	-0.00698	-0.00698	0.00062	0.01654	-0.00377	-0.02538	-0.00207	0
59	0.01308	0.01036	0.01749	0.02189	0.02189	0.00658	-0.01676	0.03728	0.00658	0.02189	-0.01676	0.03728	0.00658	0.03728	-0.01676	-0.01676	0.01749	0.02236	0.01308	0.01036	0.01749	0.00398	0.01036	0.0008	0.01308	0.00398	0.01308	0.03728	0.0008	0.02236	0.0008	0.0008	0.02189	0.02236	0.01036	0.01749	0.00658	1
60	0.0014	0.00349	0.01155	-0.00112	-0.00112	-0.00567	-0.00283	0.03992	-0.00567	-0.00112	-0.00283	0.03992	-0.00567	0.03992	-0.00283	-0.00283	0.01155	-0.00357	0.0014	0.00349	0.01155	0.03899	0.00349	0.01925	0.0014	0.03899	0.0014	0.03992	0.01925	-0.00357	0.01925	0.01925	-0.00112	-0.00357	0.00349	0.01155	-0.00567	1
61	0.00795	0.003	0.02354	0.00781	0.00781	0.00532	-0.00682	-0.00881	0.00532	0.00781	-0.00682	-0.00881	0.00532	-0.00881	-0.00682	-0.00682	0.02354	-0.01843	0.00795	0.003	0.02354	-0.01691	0.003	0.00866	0.00795	-0.01691	0.00795	-0.00881	0.00866	-0.01843	0.00866	0.00866	0.00781	-0.01843	0.003	0.02354	0.00532	1
62	-0.00024	-0.00855	-0.02089	0.00215	0.00215	0.01977	0.02048	0.00886	0.01977	0.00215	0.02048	0.00886	0.01977	0.00886	0.02048	0.02048	-0.02089	-0.00969	-0.00024	-0.00855	-0.02089	0.02621	-0.00855	0.01697	-0.00024	0.02621	-0.00024	0.00886	0.01697	-0.00969	0.01697	0.01697	0.00215	-0.00969	-0.00855	-0.02089	0.01977	0
63	0.00274	0.00524	-0.02155	0.00384	0.00384	0.01057	0.00617	-0.03307	0.01057	0.00384	0.00617	-0.03307	0.01057	-0.03307	0.00617	0.00617	-0.02155	-0.03379	0.00274	0.00524	-0.02155	0.01276	0.00524	0.01745	0.00274	0.01276	0.00274	-0.03307	0.01745	-0.03379	0.01745	0.01745	0.00384	-0.03379	0.00524	-0.02155	0.01057	0
64	-0.01241	0.00771	-0.01249	0.0046	0.0046	-0.00721	0.02212	-0.00502	-0.00721	0.0046	0.02212	-0.00502	-0.00721	-0.00502	0.02212	0.02212	-0.01249	0.01962	-0.01241	0.00771	-0.01249	-0.00168	0.00771	0.00752	-0.01241	-0.00168	-0.01241	-0.00502	0.00752	0.01962	0.00752	0.00752	0.0046	0.01962	0.00771	-0.01249	-0.00721	0
65	0.01903	0.00434	0.01302	0.00954	0.00954	0.00306	-0.01715	0.06131	0.00306	0.00954	-0.01715	0.06131	0.00306	0.06131	-0.01715	-0.01715	0.01302	0.01507	0.01903	0.00434	0.01302	0.01322	0.00434	0.00011	0.01903	0.01322	0.01903	0.06131	0.00011	0.01507	0.00011	0.00011	0.00954	0.01507	0.00434	0.01302	0.00306	0
66	-0.00401	-0.00676	-0.02237	-0.00422	-0.00422	-0.00218	0.0025	0.04337	-0.00218	-0.00422	0.0025	0.04337	-0.00218	0.04337	0.0025	0.0025	-0.02237	0.01712	-0.00401	-0.00676	-0.02237	0.02832	-0.00676	-0.00718	-0.00401	0.02832	-0.00401	0.04337	-0.00718	0.01712	-0.00718	-0.00718	-0.00422	0.01712	-0.00676	-0.02237	-0.00218	0
