protein	class	features
YP_0013320741_ironregulated_hemeiron_binding_protein_IsdB_[Staphylococcus_aureus_subsp_aureus_str_Newman]	1	0.00661,33.27152,0.26325,0.00035,0.00582,-0.00021,-0.02633,33.51882,0.23753,0.00030,0.00549,-0.00007,0.06310,24.68266,0.55639,0.00030,0.00435,-0.00001,0.03661,65.19083,0.33455,0.00042,0.01381,0.00015,-0.02539,52.27176,0.09937,0.00013,0.00262,-0.00001,-0.00909,8.34942,-0.16614,0.00019,0.00440,-0.00038,0.02563,12.68203,0.04943,0.00017,0.00441,-0.00013,0.01593,7.32573,0.05772,0.00004,0.00272,0.00008,0.02236,44.33318,0.07555,0.00020,0.00694,-0.00020
VO_VO_0012364	1	-0.02461,122.47058,-0.52712,0.00059,0.02242,-0.00035,-0.03313,55.37244,-0.21311,0.00097,0.01764,-0.00018,0.05286,2.30474,0.06605,0.00028,0.00906,-0.00005,0.04083,-22.23741,0.20160,-0.00017,-0.00038,-0.00020,0.01330,-45.41577,-0.11802,0.00003,0.00413,0.00014,-0.01106,-126.17278,-0.32309,-0.00065,-0.01545,-0.00026,0.05854,-68.69118,0.06697,-0.00068,-0.01054,-0.00020,0.01435,52.52359,0.25093,0.00054,0.00747,0.00015,0.00771,-33.99956,0.08576,-0.00048,-0.00790,0.00030
VO_VO_0010951	1	-0.20536,170.86705,-1.28455,0.00137,0.03712,-0.00022,0.05258,-155.33211,0.30210,-0.00064,-0.01200,0.00014,-0.00424,-110.01432,0.47870,-0.00110,-0.03323,0.00030,0.00619,-117.29688,0.53426,-0.00116,-0.02809,0.00024,-0.08633,-218.34296,-0.43335,-0.00131,-0.02768,0.00010,-0.06820,10.11964,-1.34286,0.00015,0.01389,-0.00033,0.27669,132.19050,1.75908,0.00031,0.01663,0.00022,-0.04057,65.40211,-1.05479,0.00026,0.01057,0.00004,-0.18184,6.16992,-0.83984,-0.00002,-0.00198,-0.00009
VO_VO_0010952	1	-0.01862,92.22875,-0.53112,0.00047,0.01901,-0.00051,-0.02766,-6.37135,-0.36059,0.00064,0.01097,-0.00041,0.02047,-0.40928,0.11261,0.00011,0.00145,-0.00010,-0.03757,20.93923,-0.27716,0.00007,0.00485,0.00025,-0.01823,73.24519,0.01627,0.00038,0.01590,-0.00007,-0.06363,-75.48385,-0.45466,-0.00026,-0.01021,-0.00019,0.07733,-204.33098,0.45756,-0.00137,-0.03195,-0.00014,0.04690,-43.67257,0.54790,-0.00004,-0.00765,0.00005,0.01401,-35.36647,-0.29432,-0.00034,-0.00181,0.00013
VO_VO_0010953	1	0.00181,-81.26369,-0.35613,-0.00027,-0.00470,0.00012,0.03727,175.06004,-0.04458,0.00094,0.02586,0.00016,0.05614,-126.07305,-0.09079,-0.00049,-0.01188,-0.00024,-0.07864,69.11333,-0.42698,0.00050,0.01201,-0.00011,0.02437,-63.84285,-0.18455,-0.00033,-0.00289,0.00006,0.02332,59.81755,0.18944,0.00041,0.00895,0.00027,0.03722,-58.45452,0.23193,-0.00020,-0.00247,0.00017,-0.04012,133.65420,-0.14925,0.00084,0.02164,-0.00008,0.01938,-78.51311,0.00175,-0.00025,-0.00331,0.00000
VO_VO_0010954	1	-0.02909,-31.75816,-0.07875,-0.00007,-0.00292,0.00077,-0.09277,-62.59011,-0.75482,-0.00028,-0.00759,-0.00003,0.01847,-80.69158,0.23389,-0.00052,-0.01684,0.00017,0.02829,53.57704,0.03006,0.00033,0.00763,0.00024,-0.05670,-40.64266,-0.34614,-0.00027,-0.00347,0.00020,-0.02178,-70.62150,-0.15435,-0.00040,-0.00796,0.00042,0.05754,128.33621,0.28218,0.00096,0.02099,0.00017,-0.01832,12.18345,-0.18222,0.00008,0.00128,0.00003,-0.04501,27.94258,0.05654,-0.00013,-0.00212,0.00009
VO_VO_0012366	1	0.01202,-15.81921,-0.05166,-0.00015,0.00048,-0.00049,-0.02081,-65.30995,-0.35220,-0.00015,-0.00243,-0.00055,-0.00661,132.81989,-0.10458,0.00133,0.02799,0.00003,-0.04045,48.61045,-0.35459,0.00031,0.01333,-0.00008,-0.03017,60.68751,-0.29248,0.00029,0.01243,-0.00002,0.01593,-155.93362,-0.03939,-0.00070,-0.01979,-0.00034,0.04053,-84.64358,0.03328,-0.00059,-0.00622,0.00008,0.01832,-10.91103,-0.11234,0.00005,0.00109,0.00003,-0.01029,-75.35487,-0.04067,-0.00037,-0.00673,-0.00003
VO_VO_0012367	1	0.00813,78.09471,-0.17360,0.00059,0.01326,-0.00010,0.00744,82.41700,0.05011,0.00027,0.00615,-0.00039,-0.05638,-38.28971,-0.36280,-0.00019,-0.00140,-0.00021,-0.00912,28.51341,0.15982,0.00010,0.00395,0.00082,0.07223,-143.20826,0.19284,-0.00037,-0.00858,-0.00020,-0.00830,17.24704,-0.13715,0.00001,0.00510,0.00022,-0.04504,-76.19916,-0.11791,-0.00048,-0.01407,0.00005,-0.02732,-3.40882,0.00464,-0.00021,-0.00607,-0.00033,0.04420,-47.40563,0.48361,-0.00010,-0.00702,-0.00006
VO_VO_0012369	1	-0.05653,39.42689,-0.59789,0.00022,0.01107,-0.00028,-0.04684,51.88549,-0.34604,0.00022,0.00765,0.00048,-0.05554,-27.17529,-0.24458,-0.00037,-0.00726,-0.00013,0.05321,72.23927,0.02688,0.00065,0.01378,0.00021,0.01123,-68.65099,-0.01976,-0.00037,-0.00575,0.00018,-0.07988,48.25433,-0.22912,0.00047,0.00884,0.00010,0.12362,-2.46491,0.79993,0.00000,0.00222,0.00049,0.01234,-9.71175,-0.15737,-0.00024,-0.00254,-0.00007,-0.06298,28.02303,-0.51247,0.00008,0.00663,0.00004
VO_VO_0012370	1	-0.00936,73.50739,-0.27513,0.00061,0.01975,-0.00002,-0.04190,136.58721,-0.25441,0.00090,0.02379,-0.00007,0.02249,-7.47485,-0.32070,0.00027,0.00212,-0.00015,-0.00433,-65.52741,-0.00389,-0.00038,-0.01350,-0.00003,-0.03743,-38.76505,0.07927,-0.00016,-0.00985,0.00047,-0.00022,-90.43939,-0.24907,-0.00014,-0.00489,-0.00030,0.06059,98.58082,0.60090,0.00063,0.01387,-0.00038,0.07419,51.68626,0.71949,0.00034,0.01040,0.00013,-0.08298,93.73699,-0.24784,0.00042,0.00835,-0.00029
VO_VO_0012371	1	0.02044,19.44676,0.02248,0.00021,0.00577,-0.00033,-0.02211,-45.43061,-0.31971,-0.00024,-0.00896,-0.00008,-0.07678,-66.82347,0.07901,-0.00037,-0.01839,0.00012,-0.13123,9.61132,-0.92358,0.00028,0.00258,-0.00041,0.01056,-126.91002,-0.18517,-0.00068,-0.02147,-0.00005,-0.07215,-35.86090,-0.31909,-0.00033,-0.00828,0.00016,-0.06416,192.23760,0.24047,0.00063,0.01335,0.00006,0.04265,219.97001,0.71611,0.00101,0.02670,0.00007,0.08434,-231.63689,-0.26990,-0.00113,-0.02197,-0.00019
VO_VO_0012372	1	-0.01987,-24.01198,-0.16227,0.00013,-0.00096,0.00045,-0.02926,-87.17330,-0.54755,-0.00017,-0.00106,0.00027,0.00486,133.21585,0.14158,0.00070,0.02052,0.00022,-0.00273,134.28143,0.13855,0.00065,0.01729,-0.00004,-0.00284,-107.86729,-0.09206,-0.00047,-0.01349,0.00013,0.00686,-45.32312,-0.34738,-0.00032,-0.00234,0.00060,0.02170,116.66796,0.15914,0.00088,0.02126,0.00012,0.00223,68.53053,-0.02777,0.00044,0.01073,0.00051,-0.00608,6.85029,0.07887,0.00013,0.00016,0.00010
VO_VO_0012373	1	-0.11006,-68.97188,-0.55687,-0.00063,-0.01412,-0.00022,0.01088,-111.57583,-1.64557,-0.00008,-0.00540,-0.00028,-0.06988,-51.08916,0.33910,-0.00036,-0.02031,-0.00022,0.01932,-60.32503,1.03477,-0.00054,-0.01218,0.00002,0.16123,105.25249,-0.16593,0.00079,0.03365,-0.00005,0.00647,32.01927,-0.56442,0.00044,0.01826,0.00069,0.22582,132.12434,1.08252,0.00114,0.02949,-0.00027,-0.06722,-76.53525,0.21507,-0.00042,-0.01551,-0.00002,0.10301,-61.97214,-1.01862,0.00003,0.00687,-0.00013
VO_VO_0012374	1	0.02773,-70.16967,0.02583,-0.00018,-0.00727,0.00073,0.03671,-31.68452,-0.00816,0.00017,0.00332,0.00039,0.01856,86.84682,0.03201,0.00048,0.01293,0.00076,-0.01136,107.46842,0.10966,0.00032,0.00725,0.00073,0.01246,-87.86654,0.15360,-0.00065,-0.01625,-0.00052,-0.02723,-34.83537,-0.33266,-0.00013,-0.00098,0.00020,0.02610,61.24835,0.03864,0.00039,0.00972,-0.00001,0.04645,21.23093,0.05820,0.00004,0.00422,-0.00018,-0.00136,5.55209,0.01606,-0.00014,-0.00065,-0.00039
VO_VO_0011019	1	0.05095,45.60193,0.11513,0.00053,0.01662,-0.00015,-0.09519,-5.49094,-1.04266,0.00016,0.00638,-0.00010,0.06677,19.20217,0.15325,0.00022,0.01087,0.00012,0.03204,-9.88755,0.23283,0.00006,0.00158,-0.00033,-0.09836,31.40777,-0.75842,0.00034,0.01135,-0.00030,-0.00178,-57.70709,-0.35440,-0.00021,0.00138,0.00016,0.09329,53.65313,0.69386,0.00023,0.00723,0.00017,0.01308,32.54026,0.19572,0.00019,0.00546,0.00001,0.00062,125.88365,0.09219,0.00078,0.02231,0.00043
VO_VO_0011020	1	0.02034,54.54016,-0.13355,0.00054,0.01681,-0.00000,-0.09124,-46.69657,-0.97097,-0.00012,-0.00077,-0.00002,0.09736,5.25185,0.54040,0.00016,0.00936,0.00016,0.04210,10.18458,0.46580,0.00018,0.00351,-0.00009,-0.06887,57.09375,-0.71109,0.00052,0.01654,-0.00022,-0.03823,-24.96906,-0.39047,0.00003,0.00430,0.00019,0.10671,43.08902,0.71115,0.00025,0.00875,-0.00009,0.01155,56.28910,-0.01154,0.00033,0.01249,0.00002,0.01934,87.06572,0.18535,0.00043,0.01371,0.00044
VO_VO_0011022	1	-0.06629,6.25511,-0.33799,0.00011,0.00337,0.00010,0.03038,83.30628,0.18037,0.00066,0.01283,-0.00026,0.07756,-12.00327,-0.31671,0.00004,0.00967,0.00002,0.02690,46.51474,-0.06920,0.00044,0.01421,0.00019,0.10637,-71.63501,0.64423,-0.00083,-0.01623,0.00020,0.05992,-2.01747,0.37076,-0.00010,-0.00227,-0.00036,-0.06229,-39.39875,-0.13790,-0.00030,-0.00296,0.00015,0.13142,-102.51808,0.70194,-0.00028,-0.00616,-0.00004,-0.09650,-62.65267,0.00117,-0.00054,-0.01961,-0.00030
VO_VO_0011029	1	-0.02570,5.18300,-0.41079,0.00003,0.00236,-0.00026,0.07072,36.58971,0.31520,0.00023,0.01039,-0.00010,-0.04525,-16.91293,-0.39403,-0.00014,-0.00193,-0.00011,-0.03814,18.46322,-0.49394,0.00000,0.00111,-0.00001,-0.03088,-52.26974,-0.43261,-0.00028,-0.00650,-0.00007,-0.06990,90.69981,-0.46144,0.00047,0.01391,0.00020,0.05858,43.47810,0.43845,0.00020,0.00579,-0.00016,0.00159,23.52645,-0.08383,-0.00001,-0.00060,-0.00002,-0.01437,-19.99708,0.25409,-0.00021,-0.00592,0.00027
VO_VO_0011175	1	-0.03227,98.62120,-0.15148,0.00063,0.01495,0.00006,0.04537,59.08251,0.33330,0.00010,0.00995,0.00147,0.00506,41.98940,-0.10505,0.00023,0.00926,0.00043,0.04386,97.25252,0.04020,0.00069,0.01738,-0.00021,0.00870,23.93728,0.18889,-0.00000,0.00412,0.00062,-0.08851,-40.47367,-0.82110,-0.00026,-0.00271,0.00019,0.04288,18.07469,0.16803,0.00007,0.00308,0.00085,-0.04970,73.62505,-0.17622,0.00053,0.01272,0.00029,0.03789,40.51031,-0.06059,0.00005,0.01008,0.00110
VO_VO_0011176	1	-0.11506,28.73096,-0.65642,0.00021,0.00359,-0.00012,0.01610,-97.88448,-0.26512,-0.00058,-0.01276,0.00007,-0.01359,36.24952,0.08142,0.00020,0.00986,0.00048,0.05493,-177.18542,0.22921,-0.00118,-0.02580,-0.00028,0.03261,76.94653,0.26535,0.00033,0.01507,0.00012,-0.01081,-55.23571,-0.17498,-0.00014,-0.00315,0.00012,-0.05032,-128.85358,-0.72412,-0.00074,-0.01978,-0.00058,-0.01999,-191.95482,-0.83096,-0.00103,-0.02344,-0.00062,0.08997,13.10077,0.58413,0.00020,0.00862,-0.00028
VO_VO_0011190	1	0.07629,28.44567,0.58319,0.00015,0.00181,-0.00033,-0.05577,38.64802,-0.41972,0.00033,0.00847,-0.00000,0.09727,-52.22837,0.65334,-0.00030,-0.00658,-0.00009,0.10018,-184.02277,0.80552,-0.00097,-0.02237,-0.00017,0.04778,-90.20306,-0.04730,-0.00043,-0.00566,0.00027,-0.01832,-109.10393,-0.52100,-0.00065,-0.01073,-0.00022,0.00949,-8.20346,-0.04440,-0.00003,0.00163,-0.00002,0.00272,82.92410,0.43089,0.00027,0.01083,-0.00013,-0.02197,20.10600,-0.08528,-0.00006,0.00630,-0.00018
VO_VO_0011192	1	-0.04635,-1.32919,-0.30384,-0.00004,0.00123,0.00004,-0.05686,15.99005,-0.53413,0.00007,0.00207,-0.00012,-0.07559,-77.27485,-0.74172,-0.00047,-0.01145,0.00014,-0.01678,32.62461,-0.09972,0.00027,0.00558,-0.00025,-0.05278,66.08015,-0.30482,0.00052,0.01094,-0.00005,-0.10333,-78.44638,-0.38714,-0.00059,-0.01686,-0.00004,0.07656,-22.28203,0.94608,-0.00022,-0.00678,-0.00006,0.00011,-13.48025,0.15913,0.00004,0.00291,-0.00015,-0.03118,-23.09161,-0.26311,-0.00007,0.00192,0.00004
VO_VO_0011193	1	0.08559,104.37715,0.72102,0.00038,0.01011,0.00059,-0.04481,179.91648,-0.88487,0.00117,0.03586,0.00022,-0.01265,122.68280,-0.59143,0.00095,0.03050,0.00031,0.02859,23.49380,0.29905,0.00013,0.00630,-0.00007,0.06900,-99.63828,0.03881,-0.00029,-0.00589,0.00009,-0.04846,-133.90718,-0.25121,-0.00092,-0.01881,0.00036,-0.01115,-74.88246,-0.35646,-0.00055,-0.00767,0.00010,-0.09610,0.22202,-0.52536,0.00028,0.01053,-0.00041,-0.08448,-76.23258,-0.32939,-0.00040,-0.01001,0.00014
VO_VO_0011194	1	-0.09824,-116.93949,-0.77675,-0.00069,-0.01444,-0.00005,-0.09290,-27.56414,-0.84065,0.00015,0.00029,-0.00011,0.02505,-22.72924,0.00959,-0.00023,-0.00425,-0.00006,-0.09779,-5.17052,-0.39984,0.00002,0.00142,-0.00004,-0.02333,-52.62621,-0.03437,-0.00059,-0.01353,0.00001,-0.03968,-2.27356,-0.42482,-0.00002,-0.00015,0.00004,-0.03072,40.35517,-0.28270,0.00013,0.00476,-0.00007,0.18021,12.01447,0.68808,0.00021,0.00794,0.00024,-0.01327,6.75560,-0.23866,0.00014,0.00661,0.00005
VO_VO_0011197	1	-0.06203,48.35322,-0.11654,0.00038,0.00982,0.00005,0.05446,52.31638,0.08116,0.00027,0.00524,0.00010,-0.06485,52.11776,-0.11798,0.00041,0.01063,0.00009,0.08762,93.49135,0.18565,0.00056,0.01533,0.00007,-0.07076,56.30343,-0.14622,0.00041,0.01085,0.00006,0.05997,50.28471,0.14477,0.00024,0.00430,0.00009,-0.06392,51.39663,-0.07887,0.00037,0.00932,0.00009,0.08966,120.41693,0.08594,0.00072,0.01906,0.00009,-0.07581,49.38391,-0.16597,0.00037,0.00924,0.00007
VO_VO_0011199	1	0.13151,-0.59227,0.45885,0.00003,0.00460,-0.00014,0.07183,-28.97996,0.33069,-0.00023,-0.00472,0.00013,0.10901,-9.60066,0.83234,0.00003,0.00183,-0.00003,0.04675,-11.02210,-0.21318,-0.00016,0.00299,0.00018,0.04688,-15.80609,0.07895,-0.00002,-0.00028,-0.00001,0.05213,-3.12990,0.57749,-0.00006,-0.00601,-0.00013,0.00668,38.77729,-0.07756,0.00012,0.00572,0.00018,0.08034,85.20574,0.83351,0.00035,0.00685,-0.00007,-0.02084,42.54621,-0.29959,0.00007,0.00620,-0.00010
VO_VO_0011201	1	0.01173,-4.85850,0.12191,-0.00020,-0.00303,-0.00009,-0.04945,-87.73862,-0.81463,-0.00064,-0.01499,-0.00014,0.01752,-44.54568,-0.01595,-0.00038,-0.00617,0.00016,-0.03244,-23.07836,-0.58359,-0.00011,0.00095,0.00010,-0.07866,50.53931,-0.38114,0.00040,0.00856,-0.00011,0.05711,-145.63939,0.26599,-0.00091,-0.01982,-0.00001,0.03866,-85.30557,0.47298,-0.00045,-0.01075,0.00028,-0.03503,-0.70546,-0.05820,0.00003,-0.00028,-0.00023,0.01549,-63.78692,-0.44190,-0.00031,-0.00553,-0.00023
VO_VO_0011203	1	0.00091,135.18503,0.05381,0.00087,0.01825,-0.00018,0.09329,-24.21953,0.75321,-0.00002,0.00114,0.00015,0.08571,-127.24643,0.00423,-0.00065,-0.01122,0.00021,0.06773,-131.06307,0.34427,-0.00067,-0.01440,0.00015,0.10185,-51.85921,0.47694,-0.00054,-0.00198,0.00047,-0.03438,5.28642,-0.41080,-0.00028,0.00107,0.00036,0.17764,146.72141,1.17982,0.00114,0.02593,0.00022,0.06240,0.75957,0.47227,-0.00005,0.00144,0.00009,0.12269,47.76867,1.03011,0.00033,0.00908,0.00054
VO_VO_0011204	1	-0.02784,99.02120,0.14524,0.00060,0.01141,-0.00042,0.01005,-44.02293,0.16225,-0.00001,-0.00193,0.00090,0.07217,-106.04372,0.46774,-0.00073,-0.01268,0.00013,0.08360,-119.22203,0.31556,-0.00059,-0.01155,0.00060,0.04748,-167.24086,-0.12048,-0.00117,-0.01962,0.00061,0.03387,5.96523,0.08624,-0.00036,0.00212,0.00067,0.20859,221.78810,1.66949,0.00147,0.03568,0.00031,-0.02364,-47.87365,0.26062,-0.00045,-0.01387,0.00020,0.09331,-29.40437,0.86055,-0.00001,-0.00268,0.00071
VO_VO_0011206	1	0.04753,-23.32620,-0.00479,-0.00004,-0.00040,0.00008,-0.05476,-44.85763,-0.55916,-0.00022,0.00069,0.00027,0.02127,-33.58909,-0.05175,-0.00018,0.00037,-0.00008,0.04044,38.59358,0.47370,0.00031,0.00756,0.00011,-0.10466,41.44488,-0.57660,0.00021,0.00628,0.00023,-0.02895,-33.50309,-0.97341,-0.00034,-0.00282,-0.00021,0.01308,-85.71974,0.54827,-0.00036,-0.01088,0.00007,-0.09514,49.03808,-0.60814,0.00041,0.00820,-0.00029,-0.00369,63.90205,-0.19693,0.00042,0.01337,0.00010
VO_VO_0011207	1	0.04543,12.34054,0.03670,0.00015,0.00244,0.00009,-0.15226,82.88669,-1.28205,0.00053,0.01157,-0.00029,0.10744,-139.85217,0.28191,-0.00081,-0.01599,0.00019,0.07555,-102.60292,0.19054,-0.00035,-0.01267,-0.00023,-0.21389,-73.84210,-2.28195,-0.00029,-0.00185,0.00011,0.03773,-22.78251,0.23150,-0.00032,-0.00424,-0.00011,0.12878,54.78687,1.05458,0.00040,0.00480,0.00032,0.02913,99.08713,0.04197,0.00032,0.01272,0.00071,0.07334,-12.02195,0.72708,-0.00034,-0.00437,-0.00039
VO_VO_0011211	1	0.04233,-3.16921,-0.04025,0.00024,0.00801,-0.00021,-0.05418,-25.81210,-0.58574,-0.00000,-0.00121,-0.00019,0.10571,33.19834,0.64507,0.00028,0.01133,0.00034,0.05061,-16.36685,0.11290,-0.00005,0.00271,-0.00013,0.00908,-8.92519,0.20888,-0.00024,-0.00512,0.00013,-0.03333,23.85987,-0.28158,0.00029,0.00671,0.00001,0.02005,8.77067,-0.01425,0.00012,0.00208,-0.00017,-0.00335,-46.44172,-0.15816,-0.00032,-0.00459,0.00011,0.04923,60.89775,0.40413,0.00050,0.00746,-0.00002
VO_VO_0011213	1	-0.03587,21.97955,-0.07825,0.00027,0.01026,-0.00005,0.05863,-0.93175,0.44631,-0.00013,-0.00580,0.00007,0.05976,31.79937,0.28635,0.00023,0.00952,0.00010,0.00220,19.23430,-0.19443,0.00026,0.00631,-0.00009,0.01134,-49.97483,0.11150,-0.00042,-0.00909,0.00004,-0.00254,-66.67463,-0.06075,-0.00051,-0.01319,-0.00008,0.04459,15.95136,0.06827,0.00004,0.00453,-0.00010,0.05447,-27.36533,-0.03949,0.00008,0.00431,0.00007,-0.02325,50.22143,-0.18331,0.00012,0.00287,0.00011
VO_VO_0011214	1	0.12682,91.20156,0.86593,0.00053,0.01371,-0.00003,0.00927,16.86846,0.06831,0.00037,0.00882,0.00021,0.04966,63.15504,0.40428,0.00040,0.01746,0.00039,-0.00035,29.31774,-0.19310,0.00018,0.00858,0.00044,-0.03219,-60.91658,-0.37263,-0.00024,-0.00852,-0.00052,-0.04262,92.67027,-0.15898,0.00056,0.01519,0.00012,-0.07365,89.26134,-0.28683,0.00029,0.00732,0.00023,-0.05267,102.60711,-0.04878,0.00087,0.01311,-0.00030,-0.02460,-137.81740,-0.27163,-0.00061,-0.02087,-0.00081
VO_VO_0011215	1	0.01097,-180.06394,0.33303,-0.00063,-0.02547,-0.00075,0.07307,-5.13973,0.25608,0.00014,0.00370,-0.00063,0.04036,79.41237,0.27298,0.00046,0.01877,0.00044,0.08244,91.78424,0.42198,0.00070,0.01800,0.00038,0.06844,-104.21062,0.20748,-0.00049,-0.01214,-0.00065,-0.04699,111.93928,-0.25001,0.00044,0.01775,0.00093,0.01413,-5.73908,-0.10300,0.00018,0.00319,-0.00027,0.01462,23.26685,0.57309,0.00032,0.00166,0.00007,0.08179,18.50388,0.56355,0.00008,0.00705,0.00076
