Feature: f1                        Rank: 61,  Keep: False 
Feature: f144                      Rank: 137,  Keep: False 
Feature: f145                      Rank: 139,  Keep: False 
Feature: f146                      Rank: 104,  Keep: False 
Feature: f147                      Rank: 148,  Keep: False 
Feature: f148                      Rank: 153,  Keep: False 
Feature: f149                      Rank: 117,  Keep: False 
Feature: f150                      Rank: 71,  Keep: False 
Feature: f151                      Rank: 49,  Keep: False 
Feature: f152                      Rank: 82,  Keep: False 
Feature: f153                      Rank: 104,  Keep: False 
Feature: f154                      Rank: 40,  Keep: False 
Feature: f155                      Rank: 142,  Keep: False 
Feature: f156                      Rank: 50,  Keep: False 
Feature: f157                      Rank: 130,  Keep: False 
Feature: f158                      Rank: 56,  Keep: False 
Feature: f159                      Rank: 146,  Keep: False 
Feature: f160                      Rank: 149,  Keep: False 
