	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	preds_binary
28	-0.00017	0.02721	0.00599	0.01455	-0.02027	0.02721	0.00599	0.01455	-0.02027	-0.00017	0.00599	0.01455	-0.02027	-0.00017	0.02721	0.01455	-0.02027	-0.00017	0.02721	0.00599	0
29	-0.00273	0.03525	0.01438	0.02829	-0.00182	0.03525	0.01438	0.02829	-0.00182	-0.00273	0.01438	0.02829	-0.00182	-0.00273	0.03525	0.02829	-0.00182	-0.00273	0.03525	0.01438	0
30	-0.00067	0.01035	0.01447	-0.01449	-0.02662	0.01035	0.01447	-0.01449	-0.02662	-0.00067	0.01447	-0.01449	-0.02662	-0.00067	0.01035	-0.01449	-0.02662	-0.00067	0.01035	0.01447	0
31	-0.00261	0.03359	-0.01286	-0.0008	-0.02978	0.03359	-0.01286	-0.0008	-0.02978	-0.00261	-0.01286	-0.0008	-0.02978	-0.00261	0.03359	-0.0008	-0.02978	-0.00261	0.03359	-0.01286	0
32	0.00042	0.01157	0.00757	-0.00209	-0.02322	0.01157	0.00757	-0.00209	-0.02322	0.00042	0.00757	-0.00209	-0.02322	0.00042	0.01157	-0.00209	-0.02322	0.00042	0.01157	0.00757	0
33	0.01165	-0.01021	-0.00534	0.01473	-0.00771	-0.01021	-0.00534	0.01473	-0.00771	0.01165	-0.00534	0.01473	-0.00771	0.01165	-0.01021	0.01473	-0.00771	0.01165	-0.01021	-0.00534	0
34	-0.01197	-0.01915	0.02592	0.00867	-0.0074	-0.01915	0.02592	0.00867	-0.0074	-0.01197	0.02592	0.00867	-0.0074	-0.01197	-0.01915	0.00867	-0.0074	-0.01197	-0.01915	0.02592	0
35	-0.00135	-0.00462	-0.00634	0.01169	0.0151	-0.00462	-0.00634	0.01169	0.0151	-0.00135	-0.00634	0.01169	0.0151	-0.00135	-0.00462	0.01169	0.0151	-0.00135	-0.00462	-0.00634	0
36	-0.00383	-0.00999	-0.00802	-0.00148	0.01442	-0.00999	-0.00802	-0.00148	0.01442	-0.00383	-0.00802	-0.00148	0.01442	-0.00383	-0.00999	-0.00148	0.01442	-0.00383	-0.00999	-0.00802	0
37	-0.00088	0.04281	0.00841	0.03213	0.01377	0.04281	0.00841	0.03213	0.01377	-0.00088	0.00841	0.03213	0.01377	-0.00088	0.04281	0.03213	0.01377	-0.00088	0.04281	0.00841	0
38	0.00082	0.00494	0.00193	-0.01037	-0.03567	0.00494	0.00193	-0.01037	-0.03567	0.00082	0.00193	-0.01037	-0.03567	0.00082	0.00494	-0.01037	-0.03567	0.00082	0.00494	0.00193	0
39	-0.00981	0.00184	-0.00273	0.02798	0.0052	0.00184	-0.00273	0.02798	0.0052	-0.00981	-0.00273	0.02798	0.0052	-0.00981	0.00184	0.02798	0.0052	-0.00981	0.00184	-0.00273	0
40	0.00427	0.02345	0.00141	-0.01974	0.01649	0.02345	0.00141	-0.01974	0.01649	0.00427	0.00141	-0.01974	0.01649	0.00427	0.02345	-0.01974	0.01649	0.00427	0.02345	0.00141	0
41	-0.01932	0.02675	0.00736	0.00861	0.00614	0.02675	0.00736	0.00861	0.00614	-0.01932	0.00736	0.00861	0.00614	-0.01932	0.02675	0.00861	0.00614	-0.01932	0.02675	0.00736	0
42	-0.00109	0.02974	0.00242	0.02818	-0.02414	0.02974	0.00242	0.02818	-0.02414	-0.00109	0.00242	0.02818	-0.02414	-0.00109	0.02974	0.02818	-0.02414	-0.00109	0.02974	0.00242	0
43	0.01491	-0.00569	0.00365	0.01839	-0.01007	-0.00569	0.00365	0.01839	-0.01007	0.01491	0.00365	0.01839	-0.01007	0.01491	-0.00569	0.01839	-0.01007	0.01491	-0.00569	0.00365	0
44	0.01432	0.02311	-0.00024	0.01208	0.00561	0.02311	-0.00024	0.01208	0.00561	0.01432	-0.00024	0.01208	0.00561	0.01432	0.02311	0.01208	0.00561	0.01432	0.02311	-0.00024	0
45	0.00599	-0.00954	0.00399	-0.00666	-0.03712	-0.00954	0.00399	-0.00666	-0.03712	0.00599	0.00399	-0.00666	-0.03712	0.00599	-0.00954	-0.00666	-0.03712	0.00599	-0.00954	0.00399	0
46	0.00056	0.02973	-0.00246	0.01346	-0.02283	0.02973	-0.00246	0.01346	-0.02283	0.00056	-0.00246	0.01346	-0.02283	0.00056	0.02973	0.01346	-0.02283	0.00056	0.02973	-0.00246	0
47	0.0084	-0.00479	-4e-05	0.00419	0.01205	-0.00479	-4e-05	0.00419	0.01205	0.0084	-4e-05	0.00419	0.01205	0.0084	-0.00479	0.00419	0.01205	0.0084	-0.00479	-4e-05	0
48	-0.00089	-0.00324	-0.00789	-0.01082	-0.01259	-0.00324	-0.00789	-0.01082	-0.01259	-0.00089	-0.00789	-0.01082	-0.01259	-0.00089	-0.00324	-0.01082	-0.01259	-0.00089	-0.00324	-0.00789	0
49	-0.00573	0.00487	0.00771	0.00925	-0.01926	0.00487	0.00771	0.00925	-0.01926	-0.00573	0.00771	0.00925	-0.01926	-0.00573	0.00487	0.00925	-0.01926	-0.00573	0.00487	0.00771	0
50	0.01081	0.00397	-0.01293	-0.00056	0.00067	0.00397	-0.01293	-0.00056	0.00067	0.01081	-0.01293	-0.00056	0.00067	0.01081	0.00397	-0.00056	0.00067	0.01081	0.00397	-0.01293	0
51	0.00274	-0.01308	0.00197	0.01014	-0.01376	-0.01308	0.00197	0.01014	-0.01376	0.00274	0.00197	0.01014	-0.01376	0.00274	-0.01308	0.01014	-0.01376	0.00274	-0.01308	0.00197	0
52	-0.00717	0.05544	0.00132	0.04674	0.00599	0.05544	0.00132	0.04674	0.00599	-0.00717	0.00132	0.04674	0.00599	-0.00717	0.05544	0.04674	0.00599	-0.00717	0.05544	0.00132	0
53	-0.00882	-0.036	0.01084	-0.00859	-0.00175	-0.036	0.01084	-0.00859	-0.00175	-0.00882	0.01084	-0.00859	-0.00175	-0.00882	-0.036	-0.00859	-0.00175	-0.00882	-0.036	0.01084	0
54	0.01998	0.01555	0.00287	0.0158	0.01318	0.01555	0.00287	0.0158	0.01318	0.01998	0.00287	0.0158	0.01318	0.01998	0.01555	0.0158	0.01318	0.01998	0.01555	0.00287	0
55	0.00608	0.01635	0.00281	0.0077	0.0057	0.01635	0.00281	0.0077	0.0057	0.00608	0.00281	0.0077	0.0057	0.00608	0.01635	0.0077	0.0057	0.00608	0.01635	0.00281	0
56	-0.00491	-0.02709	0.01409	0.00216	0.00227	-0.02709	0.01409	0.00216	0.00227	-0.00491	0.01409	0.00216	0.00227	-0.00491	-0.02709	0.00216	0.00227	-0.00491	-0.02709	0.01409	0
57	0.01115	0.01619	-0.0057	-4e-05	0.00855	0.01619	-0.0057	-4e-05	0.00855	0.01115	-0.0057	-4e-05	0.00855	0.01115	0.01619	-4e-05	0.00855	0.01115	0.01619	-0.0057	0
58	-0.00523	0.04556	-0.0043	-0.00315	-0.00884	0.04556	-0.0043	-0.00315	-0.00884	-0.00523	-0.0043	-0.00315	-0.00884	-0.00523	0.04556	-0.00315	-0.00884	-0.00523	0.04556	-0.0043	0
59	0.00919	0.01153	0.00837	0.02092	-0.01676	0.01153	0.00837	0.02092	-0.01676	0.00919	0.00837	0.02092	-0.01676	0.00919	0.01153	0.02092	-0.01676	0.00919	0.01153	0.00837	0
60	0.00205	-0.00874	-0.00532	0.00741	-0.00283	-0.00874	-0.00532	0.00741	-0.00283	0.00205	-0.00532	0.00741	-0.00283	0.00205	-0.00874	0.00741	-0.00283	0.00205	-0.00874	-0.00532	0
61	0.00504	-0.03097	0.00904	-0.00284	-0.00682	-0.03097	0.00904	-0.00284	-0.00682	0.00504	0.00904	-0.00284	-0.00682	0.00504	-0.03097	-0.00284	-0.00682	0.00504	-0.03097	0.00904	0
62	0.00762	-0.01183	0.01949	0.02821	0.02048	-0.01183	0.01949	0.02821	0.02048	0.00762	0.01949	0.02821	0.02048	0.00762	-0.01183	0.02821	0.02048	0.00762	-0.01183	0.01949	0
63	-0.00455	0.03274	0.01339	0.02655	0.00617	0.03274	0.01339	0.02655	0.00617	-0.00455	0.01339	0.02655	0.00617	-0.00455	0.03274	0.02655	0.00617	-0.00455	0.03274	0.01339	0
64	0.00175	0.00493	0.00665	0.01983	0.02212	0.00493	0.00665	0.01983	0.02212	0.00175	0.00665	0.01983	0.02212	0.00175	0.00493	0.01983	0.02212	0.00175	0.00493	0.00665	0
65	-0.00122	0.04457	0.00103	0.00371	-0.01715	0.04457	0.00103	0.00371	-0.01715	-0.00122	0.00103	0.00371	-0.01715	-0.00122	0.04457	0.00371	-0.01715	-0.00122	0.04457	0.00103	0
66	-0.00089	-0.03874	0.01704	-0.01081	0.0025	-0.03874	0.01704	-0.01081	0.0025	-0.00089	0.01704	-0.01081	0.0025	-0.00089	-0.03874	-0.01081	0.0025	-0.00089	-0.03874	0.01704	0
67	0.01006	-0.00012	0.00222	0.00886	-0.00201	-0.00012	0.00222	0.00886	-0.00201	0.01006	0.00222	0.00886	-0.00201	0.01006	-0.00012	0.00886	-0.00201	0.01006	-0.00012	0.00222	0
68	0.01759	0.00765	0.00587	-0.02553	-0.01484	0.00765	0.00587	-0.02553	-0.01484	0.01759	0.00587	-0.02553	-0.01484	0.01759	0.00765	-0.02553	-0.01484	0.01759	0.00765	0.00587	0
69	0.00943	-0.01693	0.00832	0.02869	0.01834	-0.01693	0.00832	0.02869	0.01834	0.00943	0.00832	0.02869	0.01834	0.00943	-0.01693	0.02869	0.01834	0.00943	-0.01693	0.00832	0
70	-1e-05	0.04218	0.0192	0.03493	0.00972	0.04218	0.0192	0.03493	0.00972	-1e-05	0.0192	0.03493	0.00972	-1e-05	0.04218	0.03493	0.00972	-1e-05	0.04218	0.0192	0
71	0.00762	-0.01183	0.01949	0.02821	0.02048	-0.01183	0.01949	0.02821	0.02048	0.00762	0.01949	0.02821	0.02048	0.00762	-0.01183	0.02821	0.02048	0.00762	-0.01183	0.01949	0
72	-0.01438	-0.02633	0.01516	0.02045	-0.00879	-0.02633	0.01516	0.02045	-0.00879	-0.01438	0.01516	0.02045	-0.00879	-0.01438	-0.02633	0.02045	-0.00879	-0.01438	-0.02633	0.01516	0
73	0.01261	-0.00577	0.00533	0.02162	-0.0094	-0.00577	0.00533	0.02162	-0.0094	0.01261	0.00533	0.02162	-0.0094	0.01261	-0.00577	0.02162	-0.0094	0.01261	-0.00577	0.00533	0
74	-0.00567	-0.00425	0.02203	-0.00593	-0.00883	-0.00425	0.02203	-0.00593	-0.00883	-0.00567	0.02203	-0.00593	-0.00883	-0.00567	-0.00425	-0.00593	-0.00883	-0.00567	-0.00425	0.02203	0
75	0.00399	0.02039	0.00873	0.00727	0.01713	0.02039	0.00873	0.00727	0.01713	0.00399	0.00873	0.00727	0.01713	0.00399	0.02039	0.00727	0.01713	0.00399	0.02039	0.00873	0
76	0.00679	-0.00239	0.01364	0.01408	0.03411	-0.00239	0.01364	0.01408	0.03411	0.00679	0.01364	0.01408	0.03411	0.00679	-0.00239	0.01408	0.03411	0.00679	-0.00239	0.01364	0
77	0.01032	-0.03374	0.00932	-0.01736	-0.01263	-0.03374	0.00932	-0.01736	-0.01263	0.01032	0.00932	-0.01736	-0.01263	0.01032	-0.03374	-0.01736	-0.01263	0.01032	-0.03374	0.00932	0
78	-0.00175	0.01661	-0.01679	-0.01011	0.01184	0.01661	-0.01679	-0.01011	0.01184	-0.00175	-0.01679	-0.01011	0.01184	-0.00175	0.01661	-0.01011	0.01184	-0.00175	0.01661	-0.01679	0
