	f51	f60	f17	f47	f89	f5	f97	f93	f13	f9	f125	f133	f129	f137	f43	f85	preds_binary
12	0.00711	0.00711	0.00294	0.00711	0.0043	0.00294	0.0043	0.0043	0.00294	0.00294	0.00332	0.00332	0.00332	0.00332	0.00711	0.0043	1
13	0.00615	0.00615	0.00291	0.00615	0.00256	0.00291	0.00256	0.00256	0.00291	0.00291	-0.00055	-0.00055	-0.00055	-0.00055	0.00615	0.00256	1
14	0.00932	0.00932	0.00289	0.00932	0.00061	0.00289	0.00061	0.00061	0.00289	0.00289	0.005	0.005	0.005	0.005	0.00932	0.00061	1
15	0.00537	0.00537	0.00195	0.00537	0.00339	0.00195	0.00339	0.00339	0.00195	0.00195	0.00239	0.00239	0.00239	0.00239	0.00537	0.00339	1
16	0.00848	0.00848	7e-05	0.00848	0.00508	7e-05	0.00508	0.00508	7e-05	7e-05	-0.00013	-0.00013	-0.00013	-0.00013	0.00848	0.00508	1
17	0.00712	0.00712	0.00306	0.00712	0.00562	0.00306	0.00562	0.00562	0.00306	0.00306	-0.00084	-0.00084	-0.00084	-0.00084	0.00712	0.00562	1
18	0.00439	0.00439	-0.00075	0.00439	-0.00351	-0.00075	-0.00351	-0.00351	-0.00075	-0.00075	0.00032	0.00032	0.00032	0.00032	0.00439	-0.00351	1
19	0.00477	0.00477	0.00843	0.00477	0.00272	0.00843	0.00272	0.00272	0.00843	0.00843	0.00671	0.00671	0.00671	0.00671	0.00477	0.00272	0
20	0.01018	0.01018	0.00517	0.01018	0.007	0.00517	0.007	0.007	0.00517	0.00517	-0.00518	-0.00518	-0.00518	-0.00518	0.01018	0.007	1
21	0.00358	0.00358	0.00235	0.00358	0.00415	0.00235	0.00415	0.00415	0.00235	0.00235	0.00016	0.00016	0.00016	0.00016	0.00358	0.00415	1
22	0.00693	0.00693	0.00835	0.00693	0.00167	0.00835	0.00167	0.00167	0.00835	0.00835	0.00423	0.00423	0.00423	0.00423	0.00693	0.00167	0
23	0.00521	0.00521	0.00074	0.00521	0.00243	0.00074	0.00243	0.00243	0.00074	0.00074	0.00526	0.00526	0.00526	0.00526	0.00521	0.00243	1
24	0.00755	0.00755	0.00719	0.00755	0.00707	0.00719	0.00707	0.00707	0.00719	0.00719	0.00112	0.00112	0.00112	0.00112	0.00755	0.00707	1
25	0.00469	0.00469	-0.00032	0.00469	0.00464	-0.00032	0.00464	0.00464	-0.00032	-0.00032	-0.00266	-0.00266	-0.00266	-0.00266	0.00469	0.00464	1
26	0.00324	0.00324	0.00943	0.00324	0.00579	0.00943	0.00579	0.00579	0.00943	0.00943	0.00544	0.00544	0.00544	0.00544	0.00324	0.00579	0
27	0.0089	0.0089	0.00066	0.0089	0.00069	0.00066	0.00069	0.00069	0.00066	0.00066	0.00382	0.00382	0.00382	0.00382	0.0089	0.00069	1
28	-0.00052	-0.00052	0.00779	-0.00052	0.00218	0.00779	0.00218	0.00218	0.00779	0.00779	0.00041	0.00041	0.00041	0.00041	-0.00052	0.00218	0
29	0.00749	0.00749	0.004	0.00749	0.00939	0.004	0.00939	0.00939	0.004	0.004	0.00809	0.00809	0.00809	0.00809	0.00749	0.00939	1
30	0.00669	0.00669	0.0076	0.00669	0.0066	0.0076	0.0066	0.0066	0.0076	0.0076	0.00129	0.00129	0.00129	0.00129	0.00669	0.0066	1
31	0.00852	0.00852	0.00087	0.00852	0.00021	0.00087	0.00021	0.00021	0.00087	0.00087	0.00497	0.00497	0.00497	0.00497	0.00852	0.00021	1
32	0.00595	0.00595	-0.00246	0.00595	0.00227	-0.00246	0.00227	0.00227	-0.00246	-0.00246	-0.00193	-0.00193	-0.00193	-0.00193	0.00595	0.00227	1
33	0.00846	0.00846	0.00082	0.00846	-0.00251	0.00082	-0.00251	-0.00251	0.00082	0.00082	0.00394	0.00394	0.00394	0.00394	0.00846	-0.00251	1
34	0.01014	0.01014	0.00372	0.01014	0.0007	0.00372	0.0007	0.0007	0.00372	0.00372	0.0022	0.0022	0.0022	0.0022	0.01014	0.0007	1
35	0.00626	0.00626	0.00159	0.00626	0.00239	0.00159	0.00239	0.00239	0.00159	0.00159	0.00305	0.00305	0.00305	0.00305	0.00626	0.00239	1
36	0.00523	0.00523	0.00257	0.00523	0.00245	0.00257	0.00245	0.00245	0.00257	0.00257	0.00089	0.00089	0.00089	0.00089	0.00523	0.00245	1
37	0.0068	0.0068	0.00826	0.0068	0.00485	0.00826	0.00485	0.00485	0.00826	0.00826	0.00411	0.00411	0.00411	0.00411	0.0068	0.00485	0
38	0.00907	0.00907	0.00635	0.00907	0.0005	0.00635	0.0005	0.0005	0.00635	0.00635	0.0085	0.0085	0.0085	0.0085	0.00907	0.0005	1
39	0.01131	0.01131	0.00242	0.01131	0.0091	0.00242	0.0091	0.0091	0.00242	0.00242	0.00417	0.00417	0.00417	0.00417	0.01131	0.0091	1
40	0.00711	0.00711	0.00294	0.00711	0.0043	0.00294	0.0043	0.0043	0.00294	0.00294	0.00332	0.00332	0.00332	0.00332	0.00711	0.0043	1
41	0.00615	0.00615	0.00291	0.00615	0.00256	0.00291	0.00256	0.00256	0.00291	0.00291	-0.00055	-0.00055	-0.00055	-0.00055	0.00615	0.00256	1
42	0.00932	0.00932	0.00289	0.00932	0.00061	0.00289	0.00061	0.00061	0.00289	0.00289	0.005	0.005	0.005	0.005	0.00932	0.00061	1
43	0.00537	0.00537	0.00195	0.00537	0.00339	0.00195	0.00339	0.00339	0.00195	0.00195	0.00239	0.00239	0.00239	0.00239	0.00537	0.00339	1
44	0.00848	0.00848	7e-05	0.00848	0.00508	7e-05	0.00508	0.00508	7e-05	7e-05	-0.00013	-0.00013	-0.00013	-0.00013	0.00848	0.00508	1
45	0.00712	0.00712	0.00306	0.00712	0.00562	0.00306	0.00562	0.00562	0.00306	0.00306	-0.00084	-0.00084	-0.00084	-0.00084	0.00712	0.00562	1
46	0.00439	0.00439	-0.00075	0.00439	-0.00351	-0.00075	-0.00351	-0.00351	-0.00075	-0.00075	0.00032	0.00032	0.00032	0.00032	0.00439	-0.00351	1
47	0.00477	0.00477	0.00843	0.00477	0.00272	0.00843	0.00272	0.00272	0.00843	0.00843	0.00671	0.00671	0.00671	0.00671	0.00477	0.00272	0
48	0.01018	0.01018	0.00517	0.01018	0.007	0.00517	0.007	0.007	0.00517	0.00517	-0.00518	-0.00518	-0.00518	-0.00518	0.01018	0.007	1
49	0.00358	0.00358	0.00235	0.00358	0.00415	0.00235	0.00415	0.00415	0.00235	0.00235	0.00016	0.00016	0.00016	0.00016	0.00358	0.00415	1
50	0.00693	0.00693	0.00835	0.00693	0.00167	0.00835	0.00167	0.00167	0.00835	0.00835	0.00423	0.00423	0.00423	0.00423	0.00693	0.00167	0
51	0.00521	0.00521	0.00074	0.00521	0.00243	0.00074	0.00243	0.00243	0.00074	0.00074	0.00526	0.00526	0.00526	0.00526	0.00521	0.00243	1
52	0.00755	0.00755	0.00719	0.00755	0.00707	0.00719	0.00707	0.00707	0.00719	0.00719	0.00112	0.00112	0.00112	0.00112	0.00755	0.00707	1
53	0.00469	0.00469	-0.00032	0.00469	0.00464	-0.00032	0.00464	0.00464	-0.00032	-0.00032	-0.00266	-0.00266	-0.00266	-0.00266	0.00469	0.00464	1
54	0.00324	0.00324	0.00943	0.00324	0.00579	0.00943	0.00579	0.00579	0.00943	0.00943	0.00544	0.00544	0.00544	0.00544	0.00324	0.00579	0
55	0.0089	0.0089	0.00066	0.0089	0.00069	0.00066	0.00069	0.00069	0.00066	0.00066	0.00382	0.00382	0.00382	0.00382	0.0089	0.00069	1
56	-0.00052	-0.00052	0.00779	-0.00052	0.00218	0.00779	0.00218	0.00218	0.00779	0.00779	0.00041	0.00041	0.00041	0.00041	-0.00052	0.00218	0
57	0.00749	0.00749	0.004	0.00749	0.00939	0.004	0.00939	0.00939	0.004	0.004	0.00809	0.00809	0.00809	0.00809	0.00749	0.00939	1
58	0.00669	0.00669	0.0076	0.00669	0.0066	0.0076	0.0066	0.0066	0.0076	0.0076	0.00129	0.00129	0.00129	0.00129	0.00669	0.0066	1
59	0.00852	0.00852	0.00087	0.00852	0.00021	0.00087	0.00021	0.00021	0.00087	0.00087	0.00497	0.00497	0.00497	0.00497	0.00852	0.00021	1
60	0.00595	0.00595	-0.00246	0.00595	0.00227	-0.00246	0.00227	0.00227	-0.00246	-0.00246	-0.00193	-0.00193	-0.00193	-0.00193	0.00595	0.00227	1
61	0.00846	0.00846	0.00082	0.00846	-0.00251	0.00082	-0.00251	-0.00251	0.00082	0.00082	0.00394	0.00394	0.00394	0.00394	0.00846	-0.00251	1
62	0.01014	0.01014	0.00372	0.01014	0.0007	0.00372	0.0007	0.0007	0.00372	0.00372	0.0022	0.0022	0.0022	0.0022	0.01014	0.0007	1
63	0.00626	0.00626	0.00159	0.00626	0.00239	0.00159	0.00239	0.00239	0.00159	0.00159	0.00305	0.00305	0.00305	0.00305	0.00626	0.00239	1
64	0.00523	0.00523	0.00257	0.00523	0.00245	0.00257	0.00245	0.00245	0.00257	0.00257	0.00089	0.00089	0.00089	0.00089	0.00523	0.00245	1
65	0.0068	0.0068	0.00826	0.0068	0.00485	0.00826	0.00485	0.00485	0.00826	0.00826	0.00411	0.00411	0.00411	0.00411	0.0068	0.00485	0
66	0.00907	0.00907	0.00635	0.00907	0.0005	0.00635	0.0005	0.0005	0.00635	0.00635	0.0085	0.0085	0.0085	0.0085	0.00907	0.0005	1
67	0.01131	0.01131	0.00242	0.01131	0.0091	0.00242	0.0091	0.0091	0.00242	0.00242	0.00417	0.00417	0.00417	0.00417	0.01131	0.0091	1
68	0.00711	0.00711	0.00294	0.00711	0.0043	0.00294	0.0043	0.0043	0.00294	0.00294	0.00332	0.00332	0.00332	0.00332	0.00711	0.0043	1
69	0.00615	0.00615	0.00291	0.00615	0.00256	0.00291	0.00256	0.00256	0.00291	0.00291	-0.00055	-0.00055	-0.00055	-0.00055	0.00615	0.00256	1
70	0.00932	0.00932	0.00289	0.00932	0.00061	0.00289	0.00061	0.00061	0.00289	0.00289	0.005	0.005	0.005	0.005	0.00932	0.00061	1
71	0.00537	0.00537	0.00195	0.00537	0.00339	0.00195	0.00339	0.00339	0.00195	0.00195	0.00239	0.00239	0.00239	0.00239	0.00537	0.00339	1
72	0.00848	0.00848	7e-05	0.00848	0.00508	7e-05	0.00508	0.00508	7e-05	7e-05	-0.00013	-0.00013	-0.00013	-0.00013	0.00848	0.00508	1
73	0.00712	0.00712	0.00306	0.00712	0.00562	0.00306	0.00562	0.00562	0.00306	0.00306	-0.00084	-0.00084	-0.00084	-0.00084	0.00712	0.00562	1
74	0.00439	0.00439	-0.00075	0.00439	-0.00351	-0.00075	-0.00351	-0.00351	-0.00075	-0.00075	0.00032	0.00032	0.00032	0.00032	0.00439	-0.00351	1
75	0.00477	0.00477	0.00843	0.00477	0.00272	0.00843	0.00272	0.00272	0.00843	0.00843	0.00671	0.00671	0.00671	0.00671	0.00477	0.00272	0
76	0.01018	0.01018	0.00517	0.01018	0.007	0.00517	0.007	0.007	0.00517	0.00517	-0.00518	-0.00518	-0.00518	-0.00518	0.01018	0.007	1
77	0.00358	0.00358	0.00235	0.00358	0.00415	0.00235	0.00415	0.00415	0.00235	0.00235	0.00016	0.00016	0.00016	0.00016	0.00358	0.00415	1
78	0.00693	0.00693	0.00835	0.00693	0.00167	0.00835	0.00167	0.00167	0.00835	0.00835	0.00423	0.00423	0.00423	0.00423	0.00693	0.00167	0
79	0.00521	0.00521	0.00074	0.00521	0.00243	0.00074	0.00243	0.00243	0.00074	0.00074	0.00526	0.00526	0.00526	0.00526	0.00521	0.00243	1
80	0.00755	0.00755	0.00719	0.00755	0.00707	0.00719	0.00707	0.00707	0.00719	0.00719	0.00112	0.00112	0.00112	0.00112	0.00755	0.00707	1
81	0.00469	0.00469	-0.00032	0.00469	0.00464	-0.00032	0.00464	0.00464	-0.00032	-0.00032	-0.00266	-0.00266	-0.00266	-0.00266	0.00469	0.00464	1
82	0.00324	0.00324	0.00943	0.00324	0.00579	0.00943	0.00579	0.00579	0.00943	0.00943	0.00544	0.00544	0.00544	0.00544	0.00324	0.00579	0
83	0.0089	0.0089	0.00066	0.0089	0.00069	0.00066	0.00069	0.00069	0.00066	0.00066	0.00382	0.00382	0.00382	0.00382	0.0089	0.00069	1
